     FRE.     REAL.    IMAG.    AMP.
    0.0000 0.00000000E+00 0.13169483E-07 0.13169483E-07
    0.0977 -.95657026E-03 -.29827040E-01 0.29842375E-01
    0.1954 -.14346122E-02 -.33044286E-01 0.33075415E-01
    0.2931 0.87776473E-02 0.83414890E-01 0.83875448E-01
    0.3908 -.64998753E-01 0.44379041E-01 0.78704111E-01
    0.4885 -.31142512E-01 0.26271209E-01 0.40743496E-01
    0.5863 -.12225878E-01 0.39156612E-01 0.41020878E-01
    0.6840 0.38461180E-02 0.34620424E-02 0.51747812E-02
    0.7817 0.14852596E-01 -.50429665E-02 0.15685380E-01
    0.8794 -.83441706E-02 0.11046781E-01 0.13844008E-01
    0.9771 0.15154597E-01 0.19730097E-01 0.24878476E-01
    1.0748 -.17893365E-01 -.17059457E-01 0.24722410E-01
    1.1725 0.14509746E-01 -.41121878E-01 0.43606669E-01
    1.2702 -.27186098E-02 0.77800718E-02 0.82413806E-02
    1.3679 -.21927783E-01 -.72935643E-02 0.23108954E-01
    1.4656 -.15456568E-01 0.30399726E-02 0.15752679E-01
    1.5634 -.32958738E-02 -.33248758E-02 0.46816217E-02
    1.6611 -.16427724E-01 -.54589873E-02 0.17310997E-01
    1.7588 -.13359758E-01 0.21161537E-02 0.13526317E-01
    1.8565 -.17771361E-01 -.32912632E-02 0.18073564E-01
    1.9542 -.64879041E-02 -.44503608E-02 0.78675672E-02
    2.0519 0.14972212E-01 0.50469377E-03 0.14980716E-01
    2.1496 -.98976037E-02 0.16071518E-02 0.10027237E-01
    2.2473 0.86513115E-02 0.48224339E-02 0.99045979E-02
    2.3450 -.29493438E-02 0.34736956E-02 0.45568836E-02
    2.4427 -.46762498E-02 -.11882188E-01 0.12769248E-01
    2.5405 -.81107076E-02 0.41335230E-02 0.91032740E-02
    2.6382 0.12470020E-01 0.75632413E-02 0.14584376E-01
    2.7359 -.88901154E-03 -.90977043E-03 0.12720156E-02
    2.8336 -.85102678E-04 -.26109023E-02 0.26122888E-02
    2.9313 -.53631756E-02 -.10463040E-01 0.11757502E-01
    3.0290 0.17532289E-02 0.15034154E-02 0.23095605E-02
    3.1267 -.14348943E-01 0.55872477E-02 0.15398360E-01
    3.2244 0.69769227E-03 0.98929647E-03 0.12105709E-02
    3.3221 -.18523866E-02 0.49815593E-04 0.18530564E-02
    3.4198 -.63728204E-03 0.25123549E-02 0.25919212E-02
    3.5176 -.15382186E-02 0.13732159E-02 0.20619987E-02
    3.6153 -.39957524E-02 0.78059873E-03 0.40712864E-02
    3.7130 -.14837480E-02 0.73970889E-03 0.16579136E-02
    3.8107 0.14829307E-02 0.16745864E-02 0.22368110E-02
    3.9084 0.37828500E-04 0.10905906E-02 0.10912465E-02
    4.0061 -.10824846E-02 0.41112690E-02 0.42513888E-02
    4.1038 0.11904718E-02 0.30242669E-03 0.12282854E-02
    4.2015 -.23435508E-02 -.11673052E-03 0.23464561E-02
    4.2992 -.75815053E-03 -.24726221E-03 0.79745270E-03
    4.3969 -.69039233E-03 -.42201872E-02 0.42762859E-02
    4.4947 -.35040735E-02 0.67935900E-04 0.35047319E-02
    4.5924 -.47494392E-03 0.92987588E-03 0.10441460E-02
    4.6901 -.75485797E-04 -.55712287E-03 0.56221348E-03
    4.7878 0.21707620E-03 0.49673498E-03 0.54209569E-03
    4.8855 0.10344292E-02 -.16035059E-02 0.19082126E-02
    4.9832 -.15338603E-02 0.50504989E-03 0.16148693E-02
    5.0809 -.12907517E-02 0.81606529E-03 0.15270896E-02
    5.1786 -.20140575E-03 0.52171556E-03 0.55924180E-03
    5.2763 -.85524545E-03 -.12733693E-02 0.15339212E-02
    5.3740 -.11089003E-02 -.20972765E-02 0.23723887E-02
    5.4718 -.14279993E-02 -.38386765E-03 0.14786941E-02
    5.5695 -.22891143E-02 -.83063828E-03 0.24351601E-02
    5.6672 -.13489121E-02 0.71788218E-03 0.15280441E-02
    5.7649 0.38296668E-03 0.74169436E-03 0.83472987E-03
    5.8626 -.47377698E-03 0.11958546E-02 0.12862865E-02
    5.9603 -.22590694E-02 0.12644430E-02 0.25888628E-02
    6.0580 -.23988774E-02 0.11857115E-02 0.26759156E-02
    6.1557 -.18805605E-02 -.47140100E-03 0.19387436E-02
    6.2534 -.13520319E-02 0.51894283E-03 0.14482030E-02
    6.3511 -.11612321E-02 0.59280358E-03 0.13037929E-02
    6.4489 -.18628206E-02 -.10544097E-03 0.18658023E-02
    6.5466 -.64641068E-03 0.33016017E-03 0.72584604E-03
    6.6443 0.92362112E-03 0.84687007E-03 0.12531021E-02
    6.7420 -.32055778E-02 -.50332071E-03 0.32448515E-02
    6.8397 0.59489947E-04 -.23261926E-02 0.23269532E-02
    6.9374 -.17718101E-03 0.10063187E-02 0.10217977E-02
    7.0351 -.82996377E-03 0.44252424E-03 0.94056770E-03
    7.1328 -.12608198E-02 0.24434464E-03 0.12842783E-02
    7.2305 -.13439935E-02 0.76409767E-03 0.15460154E-02
    7.3282 -.79576908E-04 0.55030588E-03 0.55602973E-03
    7.4260 -.14015444E-03 0.18756009E-02 0.18808302E-02
    7.5237 -.75355382E-03 -.10592111E-02 0.12999121E-02
    7.6214 -.25138850E-03 0.65404148E-03 0.70068997E-03
    7.7191 -.25280737E-02 -.28738470E-03 0.25443558E-02
    7.8168 -.31780553E-03 -.25098227E-04 0.31879504E-03
    7.9145 -.10839798E-02 0.10253451E-02 0.14920941E-02
    8.0122 0.12209015E-03 0.49625599E-03 0.51105383E-03
    8.1099 -.14637290E-02 0.15016632E-03 0.14714117E-02
    8.2076 0.97496697E-04 0.71965478E-03 0.72622905E-03
    8.3053 0.32813088E-04 0.56764547E-03 0.56859310E-03
    8.4031 -.11463617E-02 0.62284285E-04 0.11480525E-02
    8.5008 -.47668340E-03 0.25835738E-03 0.54219516E-03
    8.5985 -.18142409E-02 0.87259279E-03 0.20131788E-02
    8.6962 -.13595715E-03 -.53075748E-03 0.54789399E-03
    8.7939 -.70016849E-03 0.11077862E-02 0.13105060E-02
    8.8916 -.42366166E-04 0.10601055E-03 0.11416273E-03
    8.9893 -.64955786E-03 0.99137006E-03 0.11852173E-02
    9.0870 0.13445954E-03 -.11861148E-03 0.17929878E-03
    9.1847 0.27013797E-03 0.31353004E-04 0.27195134E-03
    9.2824 -.84487506E-03 0.15459194E-03 0.85890194E-03
    9.3802 -.46073188E-03 0.28278484E-03 0.54059329E-03
    9.4779 0.48841338E-03 -.91971579E-03 0.10413572E-02
    9.5756 -.72177197E-03 0.95843244E-03 0.11998115E-02
