     FRE.     REAL.    IMAG.    AMP.
    0.0000 0.00000000E+00 0.16123522E-07 0.16123522E-07
    0.0977 0.44017206E-02 -.34743007E-02 0.56076651E-02
    0.1954 0.13673041E-01 -.59997723E-02 0.14931488E-01
    0.2931 0.79183755E-02 -.91877785E-02 0.12129136E-01
    0.3908 -.94479946E-02 -.73773041E-01 0.74375577E-01
    0.4885 0.71144082E-01 -.56223374E-01 0.90678267E-01
    0.5863 0.69806471E-01 -.48877420E-02 0.69977380E-01
    0.6840 -.36237080E-01 -.11331184E+00 0.11896512E+00
    0.7817 -.18775629E-01 0.77248521E-01 0.79497539E-01
    0.8794 0.33493429E-01 -.14634174E-01 0.36550909E-01
    0.9771 0.41019201E-01 -.22333956E-02 0.41079957E-01
    1.0748 -.54330621E-01 0.16198307E-01 0.56693930E-01
    1.1725 0.27528503E-02 0.50674151E-02 0.57668779E-02
    1.2702 0.15853599E-01 0.23900978E-01 0.28680889E-01
    1.3679 -.51412187E-02 0.80810040E-02 0.95778266E-02
    1.4656 0.97317708E-03 0.20443115E-01 0.20466266E-01
    1.5634 0.18697299E-01 -.36497787E-01 0.41008260E-01
    1.6611 -.23841109E-01 0.36533806E-01 0.43624736E-01
    1.7588 0.18751413E-01 0.64661736E-02 0.19834992E-01
    1.8565 0.50546713E-02 0.19617340E-01 0.20258078E-01
    1.9542 0.10094425E-01 0.13968173E-01 0.17233899E-01
    2.0519 0.24744352E-01 -.66191319E-03 0.24753204E-01
    2.1496 -.41294964E-02 0.12912783E-02 0.43266779E-02
    2.2473 0.18300490E-01 -.12468658E-01 0.22144422E-01
    2.3450 0.89957127E-02 0.46780859E-02 0.10139395E-01
    2.4427 0.11575203E-01 -.72854869E-02 0.13677121E-01
    2.5405 0.22726993E-02 -.11354382E-01 0.11579601E-01
    2.6382 0.11432456E-01 0.60452665E-02 0.12932374E-01
    2.7359 0.52610915E-02 0.29706256E-02 0.60418295E-02
    2.8336 0.87394975E-02 -.32464790E-03 0.87455250E-02
    2.9313 0.95972968E-02 -.48969891E-02 0.10774442E-01
    3.0290 0.13585070E-02 -.58042794E-02 0.59611406E-02
    3.1267 -.17475807E-02 0.74920612E-02 0.76931799E-02
    3.2244 0.62751062E-02 -.18146063E-02 0.65322090E-02
    3.3221 -.71985414E-02 -.17399314E-02 0.74058329E-02
    3.4198 0.34943887E-02 -.10723859E-01 0.11278826E-01
    3.5176 -.37046948E-02 -.18773054E-02 0.41531962E-02
    3.6153 -.20007223E-02 0.70680263E-02 0.73457393E-02
    3.7130 0.40102792E-02 -.99901017E-03 0.41328394E-02
    3.8107 -.37759217E-02 -.16887741E-02 0.41363682E-02
    3.9084 -.43175844E-02 -.43901647E-02 0.61575226E-02
    4.0061 -.30084702E-02 -.16019887E-02 0.34084104E-02
    4.1038 -.10390881E-02 -.30720565E-02 0.32430287E-02
    4.2015 0.14957773E-02 0.90806384E-03 0.17498371E-02
    4.2992 -.12159705E-02 0.53071073E-03 0.13267397E-02
    4.3969 -.30173890E-02 0.10869009E-02 0.32071779E-02
    4.4947 0.37152169E-02 0.74774027E-03 0.37897166E-02
    4.5924 -.64457848E-03 0.56055328E-02 0.56424709E-02
    4.6901 -.28436666E-03 0.14576482E-02 0.14851271E-02
    4.7878 0.12941261E-03 -.71898499E-02 0.71910145E-02
    4.8855 0.20385077E-02 -.31391308E-02 0.37429475E-02
    4.9832 0.33337108E-03 -.49098316E-02 0.49211364E-02
    5.0809 -.68441150E-03 -.71827271E-02 0.72152605E-02
    5.1786 -.89245912E-03 0.33227361E-02 0.34405026E-02
    5.2763 0.41472940E-02 0.10831861E-02 0.42864135E-02
    5.3740 -.40271084E-03 -.40225177E-02 0.40426259E-02
    5.4718 -.95202029E-02 0.18529466E-02 0.96988492E-02
    5.5695 0.44492502E-02 0.85790223E-02 0.96641323E-02
    5.6672 0.38727471E-02 0.37548875E-02 0.53941961E-02
    5.7649 0.61307899E-02 0.40930565E-02 0.73715462E-02
    5.8626 0.11465529E-02 0.12853355E-02 0.17224026E-02
    5.9603 0.31137029E-02 0.72258868E-03 0.31964481E-02
    6.0580 0.64053359E-02 0.29340819E-02 0.70453649E-02
    6.1557 0.70324948E-03 0.24254445E-02 0.25253398E-02
    6.2534 0.41925819E-02 -.54127973E-03 0.42273784E-02
    6.3511 0.45439391E-02 -.35549377E-03 0.45578238E-02
    6.4489 0.30912196E-02 -.16676758E-02 0.35123755E-02
    6.5466 0.15023099E-02 -.14041576E-02 0.20563544E-02
    6.6443 -.45581639E-03 -.27589938E-02 0.27963934E-02
    6.7420 0.17592342E-02 -.32321839E-02 0.36799344E-02
    6.8397 -.52248733E-03 0.27989154E-02 0.28472655E-02
    6.9374 0.52783531E-02 0.14059610E-02 0.54623932E-02
    7.0351 0.44078100E-02 0.37766722E-03 0.44239601E-02
    7.1328 0.29754797E-02 -.25679637E-02 0.39303838E-02
    7.2305 0.66036812E-03 -.25288914E-02 0.26136904E-02
    7.3282 0.21826909E-02 -.40154513E-02 0.45703379E-02
    7.4260 0.15206320E-02 -.10468572E-02 0.18461397E-02
    7.5237 -.11592150E-02 -.14216553E-02 0.18343618E-02
    7.6214 0.20803274E-02 -.23978702E-02 0.31745147E-02
    7.7191 -.37400841E-04 0.16089632E-03 0.16518611E-03
    7.8168 0.62326994E-03 -.21614209E-03 0.65968389E-03
    7.9145 0.38589730E-02 -.15371109E-02 0.41538393E-02
    8.0122 0.23032741E-02 0.67036861E-03 0.23988467E-02
    8.1099 0.90092717E-03 0.61707210E-05 0.90094830E-03
    8.2076 -.30611738E-03 -.79173427E-04 0.31619027E-03
    8.3053 -.27822778E-02 -.20188789E-02 0.34375780E-02
    8.4031 -.27924643E-02 -.82430418E-03 0.29115863E-02
    8.5008 -.14643400E-02 0.62909565E-03 0.15937544E-02
    8.5985 0.88354462E-03 0.82084548E-03 0.12060010E-02
    8.6962 0.11893252E-02 0.87876069E-04 0.11925673E-02
    8.7939 -.15754995E-02 -.16298076E-02 0.22668198E-02
    8.8916 -.18405789E-02 0.69785217E-03 0.19684329E-02
    8.9893 -.13117371E-02 0.18374025E-02 0.22575876E-02
    9.0870 -.27160239E-03 0.17869483E-02 0.18074712E-02
    9.1847 -.13873652E-02 -.41711400E-03 0.14487120E-02
    9.2824 -.14211090E-02 -.17002050E-03 0.14312434E-02
    9.3802 -.11740796E-02 0.23007079E-02 0.25829673E-02
    9.4779 -.36495141E-03 -.51830830E-04 0.36861358E-03
    9.5756 0.20059186E-02 0.26514055E-03 0.20233658E-02
    9.6733 0.11044978E-02 -.15586449E-03 0.11154412E-02
    9.7710 0.20171811E-02 -.95975865E-03 0.22338659E-02
    9.8687 -.10641706E-02 -.99312433E-03 0.14555944E-02
    9.9664 0.95082889E-03 -.63729502E-04 0.95296226E-03
   10.0641 0.16605469E-02 0.23532633E-02 0.28801500E-02
   10.1618 0.58429386E-03 0.24342386E-02 0.25033811E-02
   10.2595 0.23026078E-02 0.22488043E-02 0.32185593E-02
   10.3573 0.24224669E-02 -.69149729E-03 0.25192290E-02
   10.4550 0.21786417E-02 -.41581705E-03 0.22179685E-02
   10.5527 0.52312273E-03 0.12245633E-02 0.13316204E-02
   10.6504 0.89751743E-03 -.23790002E-02 0.25426717E-02
   10.7481 0.10271979E-02 -.18482237E-02 0.21144897E-02
   10.8458 -.31430044E-02 -.19952662E-02 0.37228435E-02
   10.9435 -.65509048E-04 0.21159586E-02 0.21169723E-02
   11.0412 0.19623176E-02 -.18476238E-02 0.26952559E-02
   11.1389 0.37825627E-02 -.29257666E-02 0.47820383E-02
   11.2366 0.37631646E-02 -.17560679E-02 0.41527320E-02
   11.3344 0.11480808E-02 -.18221881E-02 0.21537081E-02
   11.4321 0.24331128E-02 0.21320931E-02 0.32350980E-02
   11.5298 0.52266750E-02 0.45221173E-02 0.69114165E-02
   11.6275 0.43620379E-02 -.10989524E-02 0.44983407E-02
   11.7252 0.18304272E-02 -.49006320E-02 0.52313153E-02
   11.8229 -.17836436E-02 0.18458979E-03 0.17931698E-02
   11.9206 -.12176574E-02 -.25072836E-03 0.12432032E-02
   12.0183 -.27114328E-02 -.22066505E-03 0.27203972E-02
   12.1160 0.16572149E-02 -.37364475E-02 0.40874691E-02
   12.2137 -.19380117E-02 -.44241138E-02 0.48299762E-02
   12.3115 -.37309404E-02 -.29082492E-03 0.37422581E-02
   12.4092 -.17398630E-02 -.47795835E-04 0.17405193E-02
   12.5069 0.14556482E-02 -.34279580E-03 0.14954667E-02
   12.6046 -.49513229E-03 -.14329420E-02 0.15160735E-02
   12.7023 -.62425924E-03 -.63112332E-03 0.88770280E-03
   12.8000 -.23536339E-03 -.16686383E-02 0.16851557E-02
   12.8977 -.11403917E-02 -.83236839E-03 0.14118535E-02
   12.9954 -.17365153E-03 -.34406738E-03 0.38540526E-03
   13.0931 -.21995672E-03 -.26350472E-04 0.22152948E-03
   13.1908 0.26158418E-03 -.15826130E-03 0.30573341E-03
   13.2885 0.48658325E-03 0.13111878E-03 0.50393987E-03
   13.3863 0.30656537E-03 0.33543393E-03 0.45442078E-03
   13.4840 -.41623534E-04 0.43837118E-03 0.44034282E-03
   13.5817 0.20537905E-03 0.44363065E-03 0.48886472E-03
   13.6794 0.66479709E-03 0.45504610E-03 0.80561911E-03
   13.7771 0.61667105E-03 0.48400208E-03 0.78392681E-03
   13.8748 0.67828171E-03 0.32374857E-03 0.75158448E-03
   13.9725 0.72843285E-03 0.58030098E-03 0.93132362E-03
   14.0702 0.84612932E-03 0.66092343E-03 0.10736641E-02
   14.1679 0.10420168E-02 0.47694225E-03 0.11459811E-02
