     FRE.     REAL.    IMAG.    AMP.
    0.0000 0.00000000E+00 -.64901542E-08 0.64901542E-08
    0.0976 -.95201924E-01 -.26717072E-02 0.95239408E-01
    0.1951 -.64343959E-01 0.35117820E-01 0.73303521E-01
    0.2927 0.45346249E-01 0.79718523E-01 0.91713279E-01
    0.3902 0.35753351E-01 -.33783242E-01 0.49189527E-01
    0.4878 0.38289294E-01 -.50080521E-02 0.38615420E-01
    0.5854 0.28487680E-01 -.10360325E-01 0.30313104E-01
    0.6829 0.16334770E-01 -.58444659E-02 0.17348846E-01
    0.7805 -.16869396E-03 0.46045057E-03 0.49037981E-03
    0.8780 0.81125051E-02 -.17738003E-01 0.19505115E-01
    0.9756 0.10709686E-01 0.10180281E-01 0.14776180E-01
    1.0732 0.54178485E-02 -.10085505E-01 0.11448602E-01
    1.1707 0.80854818E-02 -.77904291E-02 0.11227903E-01
    1.2683 0.54132729E-02 -.23507192E-02 0.59016440E-02
    1.3659 0.54578739E-02 -.67821224E-02 0.87054912E-02
    1.4634 -.16276895E-02 0.69580169E-03 0.17701732E-02
    1.5610 -.63321106E-02 -.10027293E-01 0.11859268E-01
    1.6585 0.35548070E-02 -.54671145E-02 0.65211956E-02
    1.7561 -.43004127E-02 -.71762386E-02 0.83661191E-02
    1.8537 -.48388148E-03 0.29807591E-02 0.30197792E-02
    1.9512 0.12747334E-03 -.62712179E-02 0.62725134E-02
    2.0488 -.19788961E-02 -.15261469E-02 0.24990307E-02
    2.1463 0.20011366E-03 -.52347500E-03 0.56042086E-03
    2.2439 0.33359224E-03 -.53195837E-02 0.53300331E-02
    2.3415 -.66494627E-03 0.17030577E-02 0.18282667E-02
    2.4390 -.33971523E-02 -.35297575E-02 0.48989621E-02
    2.5366 -.38378658E-02 -.15709032E-02 0.41469205E-02
    2.6341 -.45146619E-04 -.43173824E-03 0.43409230E-03
    2.7317 -.14397203E-02 -.25060403E-02 0.28901612E-02
    2.8293 -.11973369E-02 -.54269464E-03 0.13145849E-02
    2.9268 -.14511185E-02 -.30560637E-03 0.14829498E-02
    3.0244 -.24262697E-02 0.46354404E-03 0.24701534E-02
    3.1220 -.93195983E-03 0.76499896E-03 0.12057249E-02
    3.2195 -.16997856E-02 0.15838465E-02 0.23233255E-02
    3.3171 -.52592168E-02 -.42766376E-04 0.52593905E-02
    3.4146 -.25551890E-02 -.19247271E-02 0.31989943E-02
    3.5122 0.33780212E-04 0.19927409E-03 0.20211696E-03
    3.6098 -.13478927E-02 0.84085466E-03 0.15886633E-02
    3.7073 -.16533289E-02 0.10758561E-03 0.16568257E-02
    3.8049 -.30265551E-02 0.68626628E-03 0.31033847E-02
    3.9024 -.11105915E-02 0.22373395E-02 0.24978193E-02
    4.0000 -.29689772E-02 0.15175550E-02 0.33343362E-02
    4.0976 -.24836718E-02 0.97387179E-03 0.26677803E-02
    4.1951 -.21650011E-02 -.56465121E-03 0.22374229E-02
    4.2927 -.33325900E-03 0.15250940E-02 0.15610808E-02
    4.3902 0.34396496E-03 0.89218951E-03 0.95619768E-03
    4.4878 -.77158096E-03 0.11739173E-02 0.14047844E-02
    4.5854 -.10776616E-02 0.16294456E-02 0.19535730E-02
    4.6829 -.91511896E-03 0.17094174E-02 0.19389561E-02
    4.7805 -.16825568E-02 0.17356970E-02 0.24173625E-02
    4.8780 -.33019239E-03 0.27431073E-03 0.42927076E-03
    4.9756 -.15113708E-02 0.51320094E-03 0.15961255E-02
    5.0732 -.56187197E-03 0.10869695E-02 0.12236024E-02
    5.1707 0.32402479E-03 0.12785456E-02 0.13189658E-02
    5.2683 0.50407689E-03 0.21789141E-02 0.22364615E-02
    5.3659 0.71552518E-03 0.23919689E-03 0.75444777E-03
    5.4634 0.12835335E-02 0.14745037E-02 0.19548961E-02
