     FRE.     REAL.    IMAG.    AMP.
    0.0000 0.00000000E+00 -.15410478E-07 0.15410478E-07
    0.0977 -.52132900E-03 0.15176194E-03 0.54296927E-03
    0.1954 -.11729919E-01 0.21170016E-01 0.24202492E-01
    0.2931 0.54467036E-02 -.20407118E-01 0.21121483E-01
    0.3908 0.67210607E-01 0.60573947E-02 0.67483015E-01
    0.4885 -.35510283E-01 0.82553834E-01 0.89867212E-01
    0.5863 -.31812107E-02 -.20512624E-01 0.20757837E-01
    0.6840 -.72498932E-02 0.45654289E-02 0.85676191E-02
    0.7817 -.56124451E-02 -.74123926E-02 0.92974780E-02
    0.8794 0.94135376E-02 0.22416571E-02 0.96767619E-02
    0.9771 0.33651381E-02 -.79316078E-02 0.86159473E-02
    1.0748 -.12353947E-02 0.28299659E-02 0.30878645E-02
    1.1725 -.20762587E-02 -.24499341E-02 0.32113902E-02
    1.2702 -.38875367E-02 -.27390823E-02 0.47555771E-02
    1.3679 -.23967423E-02 -.48094047E-02 0.53735226E-02
    1.4656 0.55238866E-03 0.12222431E-02 0.13412723E-02
    1.5634 -.42766011E-02 -.13482647E-02 0.44840979E-02
    1.6611 -.28908050E-02 0.20990646E-02 0.35725099E-02
    1.7588 -.40629050E-02 0.56064152E-03 0.41014040E-02
    1.8565 -.74903918E-02 0.11278619E-02 0.75748297E-02
    1.9542 -.58428631E-02 -.13295688E-02 0.59922286E-02
    2.0519 -.44259545E-02 0.85778878E-03 0.45083119E-02
    2.1496 -.47278986E-02 0.10227456E-02 0.48372550E-02
    2.2473 -.22910344E-02 0.15502260E-02 0.27662320E-02
    2.3450 -.30362215E-02 0.21906099E-02 0.37439836E-02
    2.4427 -.36082792E-02 0.16982708E-02 0.39879573E-02
    2.5405 -.46291417E-02 0.10074363E-02 0.47374973E-02
    2.6382 -.34190251E-02 -.36234740E-03 0.34381722E-02
    2.7359 -.33135535E-02 0.18212115E-02 0.37810644E-02
    2.8336 -.32107905E-02 0.29784348E-02 0.43795262E-02
    2.9313 -.19076922E-02 0.69964281E-03 0.20319424E-02
    3.0290 -.26395591E-02 0.22693039E-02 0.34809499E-02
    3.1267 -.10830997E-02 0.76313579E-03 0.13249458E-02
    3.2244 -.18313773E-02 0.17734955E-02 0.25493584E-02
    3.3221 -.15080024E-02 0.75628754E-03 0.16870217E-02
    3.4198 -.13386902E-02 0.13527866E-02 0.19031876E-02
    3.5176 -.48275699E-03 0.12297684E-02 0.13211301E-02
    3.6153 -.48934674E-03 0.15966621E-02 0.16699671E-02
    3.7130 -.62457868E-03 0.10109126E-02 0.11882940E-02
    3.8107 0.22956716E-03 0.89387392E-03 0.92288223E-03
    3.9084 0.42781440E-03 0.62527746E-03 0.75762597E-03
    4.0061 0.15153545E-05 0.10886553E-02 0.10886564E-02
    4.1038 -.13176165E-04 0.81820885E-03 0.81831496E-03
    4.2015 -.12577929E-03 0.80485333E-03 0.81462221E-03
    4.2992 0.22496415E-03 -.95579286E-04 0.24442642E-03
    4.3969 0.15196020E-04 0.12438900E-04 0.19637853E-04
    4.4947 -.31557924E-03 -.14827352E-03 0.34867649E-03
    4.5924 0.56574162E-03 0.85690047E-03 0.10268115E-02
    4.6901 -.79190293E-04 -.61838690E-03 0.62343682E-03
    4.7878 -.13306413E-02 -.23724492E-03 0.13516255E-02
    4.8855 -.12361523E-02 -.10430214E-02 0.16173949E-02
    4.9832 -.10169115E-02 -.38779162E-04 0.10176506E-02
    5.0809 -.82930317E-03 -.58714283E-03 0.10161104E-02
    5.1786 0.77522796E-04 -.10737727E-02 0.10765675E-02
    5.2763 -.11407254E-02 -.54848648E-03 0.12657377E-02
    5.3740 -.12668384E-02 0.20696789E-03 0.12836336E-02
    5.4718 -.63408836E-03 -.37135938E-03 0.73483045E-03
    5.5695 -.83617464E-03 -.66586159E-03 0.10689058E-02
    5.6672 -.12380403E-02 -.21971924E-04 0.12382353E-02
    5.7649 -.20538371E-02 0.81906248E-04 0.20554697E-02
    5.8626 -.11951121E-02 -.25451864E-03 0.12219136E-02
    5.9603 -.72474143E-03 -.57277555E-03 0.92375430E-03
    6.0580 -.88106561E-03 -.19007473E-04 0.88127062E-03
    6.1557 -.13761203E-02 0.26136456E-03 0.14007207E-02
    6.2534 -.43792842E-03 0.38486728E-03 0.58301300E-03
    6.3511 -.12398403E-02 0.74191735E-03 0.14448686E-02
    6.4489 -.19807553E-03 0.43035886E-03 0.47375381E-03
    6.5466 -.75267401E-03 0.91860892E-03 0.11875860E-02
    6.6443 -.79665863E-03 0.12876879E-02 0.15142012E-02
    6.7420 -.95229148E-03 0.75623591E-03 0.12160394E-02
    6.8397 -.11480626E-02 0.97014429E-03 0.15030728E-02
    6.9374 -.13232261E-02 0.48547218E-03 0.14094717E-02
    7.0351 -.64943661E-03 0.42901706E-03 0.77834667E-03
    7.1328 -.87550649E-03 0.82013622E-03 0.11996395E-02
    7.2305 -.13706696E-02 0.10320212E-02 0.17157514E-02
    7.3282 -.13642477E-04 0.39835725E-03 0.39859078E-03
    7.4260 -.57896198E-03 0.12402142E-02 0.13686959E-02
    7.5237 -.16521870E-04 0.13660270E-02 0.13661269E-02
    7.6214 -.26442233E-03 0.14108175E-02 0.14353833E-02
    7.7191 -.16580192E-03 0.54966524E-03 0.57412731E-03
    7.8168 0.15343988E-03 0.10280588E-02 0.10394463E-02
    7.9145 -.21370449E-03 0.44515971E-03 0.49379829E-03
    8.0122 0.14460724E-03 0.51666668E-03 0.53652184E-03
    8.1099 -.70850510E-04 0.52549707E-03 0.53025183E-03
    8.2076 0.55691687E-03 0.52378332E-03 0.76452951E-03
    8.3053 -.11329793E-03 0.49869920E-03 0.51140721E-03
    8.4031 -.65301824E-03 0.96528942E-03 0.11654254E-02
    8.5008 0.45560038E-04 0.70304511E-03 0.70451980E-03
    8.5985 -.59377385E-03 -.57620881E-03 0.82739588E-03
    8.6962 0.82918932E-05 0.13633375E-03 0.13658567E-03
    8.7939 -.36577869E-03 0.48678019E-03 0.60889160E-03
    8.8916 -.96820167E-03 0.12005150E-02 0.15422874E-02
    8.9893 -.90218069E-04 0.73217129E-03 0.73770870E-03
    9.0870 -.30850561E-05 -.40612710E-03 0.40613883E-03
    9.1847 -.18613525E-02 0.49530400E-03 0.19261254E-02
    9.2824 -.92606002E-03 0.12524495E-02 0.15576318E-02
    9.3802 -.42814712E-03 -.99353935E-03 0.10818643E-02
    9.4779 -.45897448E-03 -.42557789E-04 0.46094332E-03
    9.5756 0.79748529E-03 0.82677876E-03 0.11487149E-02
    9.6733 -.92985062E-03 -.57231402E-03 0.10918634E-02
    9.7710 0.66159107E-03 0.16222262E-02 0.17519477E-02
    9.8687 -.11570390E-02 0.20074551E-02 0.23170272E-02
    9.9664 0.23710515E-03 0.22098471E-02 0.22225308E-02
   10.0641 -.31406732E-03 0.82318502E-03 0.88106294E-03
   10.1618 -.19497233E-02 0.16057296E-02 0.25258244E-02
   10.2595 0.22868329E-03 0.44049346E-02 0.44108666E-02
   10.3573 0.63265056E-05 0.14480917E-02 0.14481056E-02
   10.4550 -.13740623E-02 0.16036215E-02 0.21117881E-02
   10.5527 -.43182061E-02 0.27561816E-02 0.51228353E-02
   10.6504 -.11175297E-02 0.10681398E-02 0.15458963E-02
   10.7481 -.45701463E-03 0.49440218E-02 0.49650995E-02
   10.8458 0.11279432E-03 0.28790829E-02 0.28812916E-02
   10.9435 0.98841311E-03 0.21816359E-02 0.23950983E-02
   11.0412 -.27479595E-02 0.30844279E-02 0.41309777E-02
   11.1389 0.13329095E-02 0.71593197E-02 0.72823423E-02
   11.2366 0.48692697E-02 0.15040161E-01 0.15808739E-01
   11.3344 -.16271720E-01 -.25606509E-01 0.30339120E-01
   11.4321 -.43892856E-02 -.82309581E-02 0.93281567E-02
   11.5298 -.89692548E-02 0.52119987E-02 0.10373643E-01
   11.6275 -.53887106E-02 0.28995879E-02 0.61192983E-02
   11.7252 -.70432632E-03 -.11474033E-01 0.11495630E-01
   11.8229 -.70645253E-03 -.25746487E-02 0.26698110E-02
   11.9206 -.89396164E-03 0.64103544E-03 0.11000426E-02
   12.0183 -.35903400E-02 0.73976270E-02 0.82228603E-02
   12.1160 -.13408940E-01 -.83155008E-02 0.15778061E-01
   12.2137 -.23336613E-02 0.30079698E-02 0.38070800E-02
   12.3115 -.93470147E-03 -.52976478E-02 0.53794738E-02
   12.4092 -.43612390E-03 -.33004107E-02 0.33291013E-02
   12.5069 0.41902851E-03 -.28170273E-03 0.50491712E-03
