     FRE.     REAL.    IMAG.    AMP.
    0.0000 0.00000000E+00 -.21711458E-07 0.21711458E-07
    0.0488 0.45494064E-04 -.44527999E-03 0.44759802E-03
    0.0977 -.88771794E-03 -.11169366E-02 0.14267411E-02
    0.1465 0.48755260E-05 0.12740323E-03 0.12749647E-03
    0.1953 -.44265025E-05 0.59846649E-03 0.59848285E-03
    0.2441 -.88227296E-03 -.90502482E-03 0.12639128E-02
    0.2930 -.43451492E-03 -.36962656E-03 0.57046209E-03
    0.3418 0.66332996E-03 -.61715994E-03 0.90603146E-03
    0.3906 0.73513959E-03 -.71153312E-03 0.10230882E-02
    0.4395 -.12762543E-02 -.35998499E-03 0.13260521E-02
    0.4883 0.12281390E-02 -.16629061E-02 0.20672644E-02
    0.5371 0.39831383E-03 -.31499614E-02 0.31750449E-02
    0.5859 0.18162905E-02 0.21344477E-02 0.28026376E-02
    0.6348 0.29432876E-02 0.65983291E-03 0.30163424E-02
    0.6836 -.24827020E-02 0.40642533E-03 0.25157486E-02
    0.7324 -.46675542E-03 -.21524334E-02 0.22024601E-02
    0.7813 0.15488523E-02 -.54928320E-02 0.57070260E-02
    0.8301 0.23314736E-02 0.73127029E-02 0.76753758E-02
    0.8789 -.41092057E-02 0.36627441E-02 0.55046584E-02
    0.9277 -.96872251E-03 -.48144786E-02 0.49109701E-02
    0.9766 0.65169707E-02 -.94861770E-02 0.11509060E-01
    1.0254 -.49211684E-03 0.39553703E-02 0.39858664E-02
    1.0742 -.10005239E-01 0.35058809E-02 0.10601698E-01
    1.1230 0.26693824E-02 -.84799593E-02 0.88901808E-02
    1.1719 0.13886549E-02 -.97341760E-03 0.16958491E-02
    1.2207 0.27021216E-03 -.70244732E-03 0.75262663E-03
    1.2695 0.48513077E-02 0.46824594E-02 0.67424485E-02
    1.3184 -.61211120E-02 -.54358426E-02 0.81863543E-02
    1.3672 0.10401191E-01 0.76515139E-02 0.12912414E-01
    1.4160 -.13525070E-01 -.42741881E-02 0.14184364E-01
    1.4648 0.22480052E-02 -.70182723E-02 0.73695099E-02
    1.5137 0.11947540E-02 -.17829636E-02 0.21462517E-02
    1.5625 -.47516976E-02 0.18083657E-02 0.50841733E-02
    1.6113 0.20274662E-02 0.25154124E-02 0.32307769E-02
    1.6602 -.21126915E-01 0.12370615E-02 0.21163100E-01
    1.7090 0.17736509E-01 -.71049435E-02 0.19106647E-01
    1.7578 0.92552468E-03 0.23308028E-01 0.23326395E-01
    1.8066 -.70120804E-02 -.13161781E-01 0.14913141E-01
    1.8555 -.83676931E-02 -.93461927E-02 0.12544705E-01
    1.9043 0.30308940E-01 -.25573338E-02 0.30416636E-01
    1.9531 -.14324759E-01 0.42047776E-01 0.44420876E-01
    2.0020 -.44929162E-02 -.37104387E-01 0.37375417E-01
    2.0508 0.21636767E-01 0.10592052E-01 0.24090273E-01
    2.0996 0.72808894E-02 0.40800089E-03 0.72923121E-02
    2.1484 -.10476686E-01 0.15127678E-01 0.18401293E-01
    2.1973 0.17467879E-02 -.56009050E-02 0.58669760E-02
    2.2461 -.71851891E-02 -.10918144E-01 0.13070303E-01
    2.2949 0.13610385E-01 -.38312431E-02 0.14139343E-01
    2.3438 0.15835591E-01 0.79303859E-02 0.17710363E-01
    2.3926 -.39700571E-01 0.17621288E-02 0.39739657E-01
    2.4414 0.10249723E-01 -.29694160E-01 0.31413373E-01
    2.4902 0.20310733E-01 0.13659917E-01 0.24476912E-01
    2.5391 -.16655773E-01 0.29544946E-01 0.33916347E-01
    2.5879 -.15244693E-01 -.37700500E-01 0.40666059E-01
    2.6367 0.26894320E-01 -.96844723E-02 0.28584847E-01
    2.6855 0.70516081E-02 0.40074289E-01 0.40689971E-01
    2.7344 -.51108398E-01 -.18729592E-01 0.54432213E-01
    2.7832 0.29782824E-01 -.32459475E-01 0.44052631E-01
    2.8320 -.81569245E-02 0.13704467E-01 0.15948286E-01
    2.8809 0.13126862E-01 0.42299209E-02 0.13791546E-01
    2.9297 -.16744150E-01 -.16227121E-01 0.23317074E-01
    2.9785 0.26434915E-01 -.33065710E-01 0.42333744E-01
    3.0273 0.33704393E-01 0.41639052E-01 0.53570483E-01
    3.0762 -.43790355E-01 0.36515761E-01 0.57017505E-01
    3.1250 -.36446950E-02 -.40151160E-01 0.40316243E-01
    3.1738 0.28603587E-01 0.14889816E-01 0.32247044E-01
    3.2227 -.47638550E-01 0.57377052E-02 0.47982838E-01
    3.2715 -.11379912E-01 -.67593195E-02 0.13235967E-01
    3.3203 0.19159429E-01 -.90277701E-03 0.19180685E-01
    3.3691 -.15143359E-01 0.22243205E-01 0.26908763E-01
    3.4180 -.17850697E-01 -.27148787E-01 0.32491598E-01
    3.4668 0.20093933E-01 -.88440692E-02 0.21954127E-01
    3.5156 -.84954994E-02 0.25593464E-02 0.88726413E-02
    3.5645 0.18057855E-01 -.24936683E-02 0.18229222E-01
    3.6133 -.15347493E-01 0.16732538E-01 0.22705140E-01
    3.6621 -.16557820E-01 -.44055334E-02 0.17133888E-01
    3.7109 0.22842395E-03 -.10046346E-01 0.10048943E-01
    3.7598 -.88648396E-02 -.39809246E-01 0.40784329E-01
    3.8086 0.59830293E-01 0.12710678E-02 0.59843794E-01
