     FRE.     REAL.    IMAG.    AMP.
    0.0000 0.00000000E+00 0.39472070E-08 0.39472070E-08
    0.0156 0.24794072E-02 0.24794138E-02 0.35064160E-02
    0.0313 -.33325396E-08 0.49624681E-02 0.49624681E-02
    0.0469 -.24842815E-02 0.24842776E-02 0.35133020E-02
    0.0625 0.13221531E-09 -.36235288E-08 0.36259402E-08
    0.0781 0.24940788E-02 0.24940714E-02 0.35271549E-02
    0.0938 0.69012245E-08 0.50017098E-02 0.50017098E-02
    0.1094 -.25089115E-02 0.25089215E-02 0.35481439E-02
    0.1250 -.66275967E-08 0.49070406E-08 0.82464586E-08
    0.1406 0.25289662E-02 0.25289683E-02 0.35764996E-02
    0.1563 0.23583953E-08 0.50820648E-02 0.50820648E-02
    0.1719 -.25544965E-02 0.25545026E-02 0.36126080E-02
    0.1875 0.57431665E-09 0.34055447E-08 0.34536320E-08
    0.2031 0.25858223E-02 0.25858227E-02 0.36569051E-02
    0.2188 0.35670220E-08 0.52075610E-02 0.52075610E-02
    0.2344 -.26233457E-02 0.26233536E-02 0.37099766E-02
    0.2500 -.46592543E-08 0.45461994E-08 0.65097296E-08
    0.2656 0.26675761E-02 0.26675779E-02 0.37725235E-02
    0.2813 0.29431264E-08 0.53848103E-02 0.53848103E-02
    0.2969 -.27191520E-02 0.27191609E-02 0.38454679E-02
    0.3125 0.85555990E-09 0.63855539E-08 0.64426144E-08
    0.3281 0.27788463E-02 0.27788517E-02 0.39298860E-02
    0.3438 0.13434354E-09 0.56240517E-02 0.56240517E-02
    0.3594 -.28476003E-02 0.28476049E-02 0.40271180E-02
    0.3750 0.35282113E-09 0.36066556E-08 0.36238719E-08
    0.3906 0.29265804E-02 0.29265832E-02 0.41388115E-02
    0.4063 0.51325355E-09 0.59406855E-02 0.59406855E-02
    0.4219 -.30172241E-02 0.30172267E-02 0.42670011E-02
    0.4375 0.58618214E-10 0.83264923E-09 0.83471002E-09
    0.4531 0.31213209E-02 0.31213183E-02 0.44142124E-02
    0.4688 0.47710405E-08 0.63581793E-02 0.63581793E-02
    0.4844 -.32411031E-02 0.32411113E-02 0.45836177E-02
    0.5000 -.37795909E-08 0.31018303E-08 0.48894435E-08
    0.5156 0.33794024E-02 0.33794031E-02 0.47791973E-02
    0.5313 0.20732516E-08 0.69132014E-02 0.69132014E-02
    0.5469 -.35398670E-02 0.35398698E-02 0.50061299E-02
    0.5625 -.15961071E-08 -.20134003E-08 0.25693070E-08
    0.5781 0.37272188E-02 0.37272081E-02 0.52710758E-02
    0.5938 0.11350648E-07 0.76656993E-02 0.76656993E-02
    0.6094 -.39477008E-02 0.39477162E-02 0.55829030E-02
    0.6250 -.16538072E-07 0.36994638E-08 0.16946796E-07
    0.6406 0.42097657E-02 0.42097578E-02 0.59535024E-02
    0.6563 0.13933531E-07 0.87197721E-02 0.87197721E-02
    0.6719 -.45251078E-02 0.45251306E-02 0.63994848E-02
    0.6875 -.30812117E-08 0.10579411E-07 0.11018975E-07
    0.7031 0.49103568E-02 0.49103568E-02 0.69442932E-02
    0.7188 0.94654835E-08 0.10272814E-01 0.10272814E-01
    0.7344 -.53899479E-02 0.53899651E-02 0.76225498E-02
    0.7500 -.21717829E-07 0.37060317E-08 0.22031768E-07
    0.7656 0.60013821E-02 0.60013658E-02 0.84872246E-02
    0.7813 0.27973176E-07 0.12748291E-01 0.12748291E-01
    0.7969 -.68052933E-02 0.68053468E-02 0.96241757E-02
    0.8125 -.70576363E-08 0.34515292E-07 0.35229469E-07
    0.8281 0.79064416E-02 0.79064714E-02 0.11181418E-01
    0.8438 -.28942229E-08 0.17248258E-01 0.17248258E-01
    0.8594 -.95026577E-02 0.95026679E-02 0.13438795E-01
    0.8750 -.74569790E-08 0.56575861E-09 0.74784099E-08
    0.8906 0.12017885E-01 0.12017857E-01 0.16995836E-01
    0.9063 0.47505619E-07 0.27814381E-01 0.27814381E-01
    0.9219 -.16554439E-01 0.16554534E-01 0.23411579E-01
    0.9375 -.42058904E-07 0.63326780E-07 0.76021266E-07
    0.9531 0.27154397E-01 0.27154440E-01 0.38402148E-01
    0.9688 0.26584166E-07 0.80824606E-01 0.80824606E-01
    0.9844 -.80196045E-01 0.80196172E-01 0.11341442E+00
    1.0000 -.12500013E+00 0.91264276E-07 0.12500013E+00
    1.0156 -.78968793E-01 -.78968637E-01 0.11167863E+00
    1.0313 -.98406176E-07 -.78369386E-01 0.78369386E-01
    1.0469 0.25926422E-01 -.25926506E-01 0.36665559E-01
    1.0625 0.67146416E-07 -.90610772E-08 0.67755032E-07
    1.0781 -.15325193E-01 -.15325151E-01 0.21673067E-01
    1.0938 -.45035769E-07 -.25354156E-01 0.25354156E-01
    1.1094 0.10786768E-01 -.10786817E-01 0.15254828E-01
    1.1250 0.28367049E-07 -.93552091E-08 0.29869874E-07
    1.1406 -.82691079E-02 -.82690837E-02 0.11694267E-01
    1.1563 -.31586715E-07 -.14778248E-01 0.14778248E-01
    1.1719 0.66698333E-02 -.66698743E-02 0.94325980E-02
    1.1875 0.24623585E-07 -.11417788E-07 0.27141976E-07
    1.2031 -.55649830E-02 -.55649700E-02 0.78700650E-02
    1.2188 -.22258204E-07 -.10263448E-01 0.10263448E-01
    1.2344 0.47566993E-02 -.47567300E-02 0.67270105E-02
    1.2500 0.19411436E-07 -.87586738E-08 0.21295968E-07
    1.2656 -.41402359E-02 -.41402238E-02 0.58551691E-02
    1.2813 -.21908198E-07 -.77678827E-02 0.77678827E-02
    1.2969 0.36549566E-02 -.36549927E-02 0.51689148E-02
