  Time(sec)     RMS      ENVELOPE
    0.0000  0.59997E-08  0.00000E+00
    0.0100  0.49503E-07  0.00000E+00
    0.0200  0.20235E-06  0.00000E+00
    0.0300  0.55908E-06  0.00000E+00
    0.0400  0.11975E-05  0.00000E+00
    0.0500  0.21484E-05  0.00000E+00
    0.0600  0.33838E-05  0.00000E+00
    0.0700  0.48213E-05  0.00000E+00
    0.0800  0.63364E-05  0.00000E+00
    0.0900  0.77790E-05  0.00000E+00
    0.1000  0.89919E-05  0.00000E+00
    0.1100  0.98307E-05  0.00000E+00
    0.1200  0.10181E-04  0.10181E-04
    0.1300  0.99694E-05  0.10569E-04
    0.1400  0.91738E-05  0.10958E-04
    0.1500  0.78261E-05  0.11346E-04
    0.1600  0.60247E-05  0.11735E-04
    0.1700  0.39939E-05  0.12123E-04
    0.1800  0.25025E-05  0.12512E-04
    0.1900  0.33549E-05  0.12901E-04
    0.2000  0.56582E-05  0.13289E-04
    0.2100  0.81521E-05  0.13678E-04
    0.2200  0.10480E-04  0.14066E-04
    0.2300  0.12481E-04  0.14455E-04
    0.2400  0.14066E-04  0.14843E-04
    0.2500  0.15186E-04  0.15232E-04
    0.2600  0.15829E-04  0.15620E-04
    0.2700  0.16009E-04  0.16009E-04
    0.2800  0.15761E-04  0.15777E-04
    0.2900  0.15137E-04  0.15546E-04
    0.3000  0.14197E-04  0.15315E-04
    0.3100  0.13016E-04  0.15083E-04
    0.3200  0.11667E-04  0.14852E-04
    0.3300  0.10225E-04  0.14620E-04
    0.3400  0.87591E-05  0.14389E-04
    0.3500  0.73291E-05  0.14158E-04
    0.3600  0.59864E-05  0.13926E-04
    0.3700  0.47728E-05  0.13695E-04
    0.3800  0.37214E-05  0.13463E-04
    0.3900  0.28593E-05  0.13232E-04
    0.4000  0.22130E-05  0.13001E-04
    0.4100  0.18118E-05  0.12769E-04
    0.4200  0.16710E-05  0.12538E-04
    0.4300  0.17546E-05  0.12306E-04
    0.4400  0.19892E-05  0.12075E-04
    0.4500  0.23143E-05  0.11844E-04
    0.4600  0.26960E-05  0.11612E-04
    0.4700  0.31164E-05  0.11381E-04
    0.4800  0.35622E-05  0.11149E-04
    0.4900  0.40202E-05  0.10918E-04
    0.5000  0.44753E-05  0.10687E-04
    0.5100  0.49128E-05  0.10455E-04
    0.5200  0.53206E-05  0.10224E-04
    0.5300  0.56915E-05  0.99924E-05
    0.5400  0.60243E-05  0.97610E-05
    0.5500  0.63231E-05  0.95296E-05
    0.5600  0.65945E-05  0.92982E-05
    0.5700  0.68439E-05  0.90668E-05
    0.5800  0.70724E-05  0.88354E-05
    0.5900  0.72760E-05  0.86040E-05
    0.6000  0.74469E-05  0.83726E-05
    0.6100  0.75758E-05  0.81412E-05
    0.6200  0.76549E-05  0.79098E-05
    0.6300  0.76784E-05  0.76784E-05
    0.6400  0.76430E-05  0.76222E-05
    0.6500  0.75486E-05  0.75661E-05
    0.6600  0.73991E-05  0.75100E-05
    0.6700  0.72022E-05  0.74538E-05
    0.6800  0.69671E-05  0.73977E-05
    0.6900  0.67024E-05  0.73416E-05
    0.7000  0.64149E-05  0.72854E-05
    0.7100  0.61091E-05  0.72293E-05
    0.7200  0.57888E-05  0.71731E-05
