  Time(sec)     RMS      ENVELOPE
    0.0000  0.12159E-06  0.00000E+00
    0.0100  0.10054E-05  0.00000E+00
    0.0200  0.41232E-05  0.00000E+00
    0.0300  0.11449E-04  0.00000E+00
    0.0400  0.24697E-04  0.00000E+00
    0.0500  0.44717E-04  0.00000E+00
    0.0600  0.71219E-04  0.00000E+00
    0.0700  0.10275E-03  0.00000E+00
    0.0800  0.13689E-03  0.00000E+00
    0.0900  0.17054E-03  0.00000E+00
    0.1000  0.20035E-03  0.00000E+00
    0.1100  0.22313E-03  0.00000E+00
    0.1200  0.23622E-03  0.00000E+00
    0.1300  0.23769E-03  0.23769E-03
    0.1400  0.22654E-03  0.24215E-03
    0.1500  0.20277E-03  0.24662E-03
    0.1600  0.16730E-03  0.25108E-03
    0.1700  0.12194E-03  0.25554E-03
    0.1800  0.69194E-04  0.26001E-03
    0.1900  0.13559E-04  0.26447E-03
    0.2000  0.48409E-04  0.26894E-03
    0.2100  0.10563E-03  0.27340E-03
    0.2200  0.15881E-03  0.27786E-03
    0.2300  0.20548E-03  0.28233E-03
    0.2400  0.24393E-03  0.28679E-03
    0.2500  0.27313E-03  0.29126E-03
    0.2600  0.29273E-03  0.29572E-03
    0.2700  0.30299E-03  0.30019E-03
    0.2800  0.30465E-03  0.30465E-03
    0.2900  0.29882E-03  0.30008E-03
    0.3000  0.28684E-03  0.29552E-03
    0.3100  0.27018E-03  0.29095E-03
    0.3200  0.25034E-03  0.28638E-03
    0.3300  0.22875E-03  0.28182E-03
    0.3400  0.20666E-03  0.27725E-03
    0.3500  0.18509E-03  0.27268E-03
    0.3600  0.16475E-03  0.26812E-03
    0.3700  0.14606E-03  0.26355E-03
    0.3800  0.12913E-03  0.25898E-03
    0.3900  0.11387E-03  0.25442E-03
    0.4000  0.99999E-04  0.24985E-03
    0.4100  0.87169E-04  0.24528E-03
    0.4200  0.74980E-04  0.24072E-03
    0.4300  0.63062E-04  0.23615E-03
    0.4400  0.51143E-04  0.23158E-03
    0.4500  0.39130E-04  0.22702E-03
    0.4600  0.27354E-04  0.22245E-03
    0.4700  0.17687E-04  0.21788E-03
