  Time(sec)     RMS      ENVELOPE
    0.0000  0.12955E-07  0.00000E+00
    0.0100  0.10437E-06  0.00000E+00
    0.0200  0.41877E-06  0.00000E+00
    0.0300  0.11462E-05  0.00000E+00
    0.0400  0.24592E-05  0.00000E+00
    0.0500  0.44610E-05  0.00000E+00
    0.0600  0.71498E-05  0.00000E+00
    0.0700  0.10405E-04  0.00000E+00
    0.0800  0.13997E-04  0.00000E+00
    0.0900  0.17598E-04  0.00000E+00
    0.1000  0.20813E-04  0.00000E+00
    0.1100  0.23235E-04  0.00000E+00
    0.1200  0.24495E-04  0.24495E-04
    0.1300  0.24313E-04  0.25057E-04
    0.1400  0.22558E-04  0.25618E-04
    0.1500  0.19281E-04  0.26180E-04
    0.1600  0.14696E-04  0.26742E-04
    0.1700  0.92202E-05  0.27304E-04
    0.1800  0.41689E-05  0.27865E-04
    0.1900  0.58982E-05  0.28427E-04
    0.2000  0.11690E-04  0.28989E-04
    0.2100  0.17410E-04  0.29550E-04
    0.2200  0.22440E-04  0.30112E-04
    0.2300  0.26564E-04  0.30674E-04
    0.2400  0.29684E-04  0.31235E-04
    0.2500  0.31768E-04  0.31797E-04
    0.2600  0.32830E-04  0.32359E-04
    0.2700  0.32921E-04  0.32921E-04
    0.2800  0.32126E-04  0.32453E-04
    0.2900  0.30581E-04  0.31985E-04
    0.3000  0.28452E-04  0.31518E-04
    0.3100  0.25922E-04  0.31050E-04
    0.3200  0.23172E-04  0.30582E-04
    0.3300  0.20366E-04  0.30115E-04
    0.3400  0.17632E-04  0.29647E-04
    0.3500  0.15071E-04  0.29180E-04
    0.3600  0.12763E-04  0.28712E-04
    0.3700  0.10767E-04  0.28244E-04
    0.3800  0.91074E-05  0.27777E-04
    0.3900  0.77906E-05  0.27309E-04
    0.4000  0.68312E-05  0.26842E-04
    0.4100  0.62619E-05  0.26374E-04
    0.4200  0.60835E-05  0.25906E-04
    0.4300  0.62218E-05  0.25439E-04
    0.4400  0.65611E-05  0.24971E-04
    0.4500  0.70025E-05  0.24503E-04
    0.4600  0.74961E-05  0.24036E-04
    0.4700  0.80284E-05  0.23568E-04
    0.4800  0.85856E-05  0.23101E-04
    0.4900  0.91375E-05  0.22633E-04
    0.5000  0.96457E-05  0.22165E-04
    0.5100  0.10081E-04  0.21698E-04
    0.5200  0.10438E-04  0.21230E-04
    0.5300  0.10730E-04  0.20763E-04
    0.5400  0.10968E-04  0.20295E-04
    0.5500  0.11167E-04  0.19827E-04
    0.5600  0.11360E-04  0.19360E-04
    0.5700  0.11583E-04  0.18892E-04
    0.5800  0.11864E-04  0.18424E-04
    0.5900  0.12210E-04  0.17957E-04
    0.6000  0.12609E-04  0.17489E-04
    0.6100  0.13046E-04  0.17022E-04
    0.6200  0.13507E-04  0.16554E-04
    0.6300  0.13955E-04  0.16086E-04
    0.6400  0.14330E-04  0.15619E-04
    0.6500  0.14577E-04  0.15151E-04
    0.6600  0.14684E-04  0.14684E-04
    0.6700  0.14672E-04  0.14623E-04
    0.6800  0.14572E-04  0.14563E-04
    0.6900  0.14395E-04  0.14503E-04
    0.7000  0.14118E-04  0.14443E-04
    0.7100  0.13694E-04  0.14383E-04
    0.7200  0.13092E-04  0.14323E-04
    0.7300  0.12336E-04  0.14262E-04
    0.7400  0.11492E-04  0.14202E-04
    0.7500  0.10634E-04  0.14142E-04
    0.7600  0.98260E-05  0.14082E-04
    0.7700  0.91212E-05  0.14022E-04
    0.7800  0.85476E-05  0.13962E-04
    0.7900  0.80974E-05  0.13902E-04
    0.8000  0.77329E-05  0.13841E-04
