  Time(sec)     RMS      ENVELOPE
    0.0000  0.55508E-08  0.00000E+00
    0.0100  0.43279E-07  0.00000E+00
    0.0200  0.16761E-06  0.00000E+00
    0.0300  0.43596E-06  0.00000E+00
    0.0400  0.86845E-06  0.00000E+00
    0.0500  0.14342E-05  0.00000E+00
    0.0600  0.20825E-05  0.00000E+00
    0.0700  0.27898E-05  0.00000E+00
    0.0800  0.35649E-05  0.00000E+00
    0.0900  0.44008E-05  0.00000E+00
    0.1000  0.52359E-05  0.00000E+00
    0.1100  0.59737E-05  0.00000E+00
    0.1200  0.65383E-05  0.00000E+00
    0.1300  0.69114E-05  0.00000E+00
    0.1400  0.71251E-05  0.00000E+00
    0.1500  0.72394E-05  0.00000E+00
    0.1600  0.73839E-05  0.00000E+00
    0.1700  0.78447E-05  0.00000E+00
    0.1800  0.89583E-05  0.00000E+00
    0.1900  0.10777E-04  0.00000E+00
    0.2000  0.12988E-04  0.00000E+00
    0.2100  0.15151E-04  0.00000E+00
    0.2200  0.16877E-04  0.00000E+00
    0.2300  0.17891E-04  0.00000E+00
    0.2400  0.18053E-04  0.18053E-04
    0.2500  0.17352E-04  0.18920E-04
    0.2600  0.15882E-04  0.19787E-04
    0.2700  0.13874E-04  0.20653E-04
    0.2800  0.11872E-04  0.21520E-04
    0.2900  0.11035E-04  0.22387E-04
    0.3000  0.12595E-04  0.23254E-04
    0.3100  0.16173E-04  0.24121E-04
    0.3200  0.20375E-04  0.24988E-04
    0.3300  0.24119E-04  0.25855E-04
    0.3400  0.26872E-04  0.26722E-04
    0.3500  0.28580E-04  0.27589E-04
    0.3600  0.29508E-04  0.28455E-04
    0.3700  0.29991E-04  0.29322E-04
    0.3800  0.30189E-04  0.30189E-04
    0.3900  0.29984E-04  0.30082E-04
    0.4000  0.29044E-04  0.29974E-04
    0.4100  0.27029E-04  0.29867E-04
    0.4200  0.23846E-04  0.29759E-04
    0.4300  0.19993E-04  0.29652E-04
    0.4400  0.16944E-04  0.29544E-04
    0.4500  0.16816E-04  0.29437E-04
    0.4600  0.19855E-04  0.29329E-04
    0.4700  0.23989E-04  0.29222E-04
    0.4800  0.27363E-04  0.29114E-04
    0.4900  0.29007E-04  0.29007E-04
    0.5000  0.28565E-04  0.27861E-04
    0.5100  0.26120E-04  0.26716E-04
    0.5200  0.22073E-04  0.25570E-04
    0.5300  0.17056E-04  0.24425E-04
    0.5400  0.11904E-04  0.23279E-04
    0.5500  0.78592E-05  0.22134E-04
    0.5600  0.67725E-05  0.20988E-04
    0.5700  0.84152E-05  0.19843E-04
    0.5800  0.10510E-04  0.18697E-04
    0.5900  0.12134E-04  0.17552E-04
    0.6000  0.13209E-04  0.16406E-04
    0.6100  0.13849E-04  0.15261E-04
    0.6200  0.14115E-04  0.14115E-04
    0.6300  0.13937E-04  0.14611E-04
    0.6400  0.13144E-04  0.15107E-04
    0.6500  0.11629E-04  0.15602E-04
    0.6600  0.96227E-05  0.16098E-04
    0.6700  0.81155E-05  0.16594E-04
    0.6800  0.87669E-05  0.17090E-04
    0.6900  0.11606E-04  0.17586E-04
    0.7000  0.15020E-04  0.18081E-04
    0.7100  0.17745E-04  0.18577E-04
    0.7200  0.19073E-04  0.19073E-04
    0.7300  0.18701E-04  0.18592E-04
    0.7400  0.16648E-04  0.18110E-04
    0.7500  0.13205E-04  0.17629E-04
    0.7600  0.89174E-05  0.17148E-04
    0.7700  0.48830E-05  0.16667E-04
    0.7800  0.45285E-05  0.16186E-04
    0.7900  0.78331E-05  0.15705E-04
    0.8000  0.11067E-04  0.15223E-04
    0.8100  0.13277E-04  0.14742E-04
    0.8200  0.14261E-04  0.14261E-04
    0.8300  0.14080E-04  0.14558E-04
    0.8400  0.12934E-04  0.14855E-04
    0.8500  0.11068E-04  0.15151E-04
    0.8600  0.87033E-05  0.15448E-04
    0.8700  0.59790E-05  0.15745E-04
    0.8800  0.30014E-05  0.16042E-04
    0.8900  0.11901E-05  0.16339E-04
    0.9000  0.41841E-05  0.16636E-04
    0.9100  0.76123E-05  0.16932E-04
    0.9200  0.10859E-04  0.17229E-04
    0.9300  0.13710E-04  0.17526E-04
    0.9400  0.16013E-04  0.17823E-04
    0.9500  0.17630E-04  0.18120E-04
    0.9600  0.18417E-04  0.18417E-04
    0.9700  0.18222E-04  0.18919E-04
    0.9800  0.16899E-04  0.19421E-04
    0.9900  0.14355E-04  0.19924E-04
    1.0000  0.10669E-04  0.20426E-04
    1.0100  0.62887E-05  0.20928E-04
    1.0200  0.35271E-05  0.21431E-04
    1.0300  0.69210E-05  0.21933E-04
    1.0400  0.11948E-04  0.22435E-04
    1.0500  0.16682E-04  0.22938E-04
    1.0600  0.20615E-04  0.23440E-04
    1.0700  0.23405E-04  0.23942E-04
    1.0800  0.24847E-04  0.24445E-04
    1.0900  0.24947E-04  0.24947E-04
    1.1000  0.23941E-04  0.24477E-04
    1.1100  0.22247E-04  0.24007E-04
    1.1200  0.20315E-04  0.23537E-04
    1.1300  0.18465E-04  0.23067E-04
    1.1400  0.16830E-04  0.22597E-04
    1.1500  0.15476E-04  0.22127E-04
    1.1600  0.14571E-04  0.21657E-04
    1.1700  0.14320E-04  0.21187E-04
    1.1800  0.14729E-04  0.20717E-04
    1.1900  0.15563E-04  0.20247E-04
    1.2000  0.16548E-04  0.19777E-04
    1.2100  0.17459E-04  0.19307E-04
    1.2200  0.18113E-04  0.18837E-04
    1.2300  0.18367E-04  0.18367E-04
    1.2400  0.18153E-04  0.18839E-04
    1.2500  0.17480E-04  0.19310E-04
    1.2600  0.16443E-04  0.19782E-04
    1.2700  0.15190E-04  0.20254E-04
    1.2800  0.13850E-04  0.20725E-04
    1.2900  0.12479E-04  0.21197E-04
    1.3000  0.11107E-04  0.21668E-04
    1.3100  0.98874E-05  0.22140E-04
    1.3200  0.92954E-05  0.22612E-04
    1.3300  0.10015E-04  0.23083E-04
    1.3400  0.12238E-04  0.23555E-04
    1.3500  0.15460E-04  0.24026E-04
    1.3600  0.19000E-04  0.24498E-04
    1.3700  0.22246E-04  0.24970E-04
    1.3800  0.24682E-04  0.25441E-04
    1.3900  0.25913E-04  0.25913E-04
    1.4000  0.25687E-04  0.26933E-04
    1.4100  0.23919E-04  0.27954E-04
    1.4200  0.20680E-04  0.28974E-04
    1.4300  0.16148E-04  0.29994E-04
    1.4400  0.10545E-04  0.31015E-04
    1.4500  0.41150E-05  0.32035E-04
    1.4600  0.31626E-05  0.33055E-04
    1.4700  0.10625E-04  0.34076E-04
    1.4800  0.18211E-04  0.35096E-04
    1.4900  0.25426E-04  0.36116E-04
    1.5000  0.31724E-04  0.37137E-04
    1.5100  0.36560E-04  0.38157E-04
    1.5200  0.39479E-04  0.39177E-04
    1.5300  0.40198E-04  0.40198E-04
    1.5400  0.38618E-04  0.40057E-04
    1.5500  0.34811E-04  0.39916E-04
    1.5600  0.29008E-04  0.39775E-04
    1.5700  0.21620E-04  0.39635E-04
    1.5800  0.13338E-04  0.39494E-04
    1.5900  0.64477E-05  0.39353E-04
    1.6000  0.96080E-05  0.39212E-04
    1.6100  0.17876E-04  0.39072E-04
    1.6200  0.25835E-04  0.38931E-04
    1.6300  0.32321E-04  0.38790E-04
    1.6400  0.36682E-04  0.38649E-04
    1.6500  0.38508E-04  0.38508E-04
    1.6600  0.37665E-04  0.38424E-04
    1.6700  0.34288E-04  0.38339E-04
    1.6800  0.28706E-04  0.38254E-04
    1.6900  0.21381E-04  0.38170E-04
    1.7000  0.12926E-04  0.38085E-04
    1.7100  0.47545E-05  0.38000E-04
    1.7200  0.72735E-05  0.37916E-04
    1.7300  0.15569E-04  0.37831E-04
    1.7400  0.23206E-04  0.37746E-04
    1.7500  0.29473E-04  0.37662E-04
    1.7600  0.34046E-04  0.37577E-04
    1.7700  0.36736E-04  0.37492E-04
