  Time(sec)     RMS      ENVELOPE
    0.0000  0.13279E-07  0.00000E+00
    0.0100  0.10129E-06  0.00000E+00
    0.0200  0.40519E-06  0.00000E+00
    0.0300  0.11409E-05  0.00000E+00
    0.0400  0.25126E-05  0.00000E+00
    0.0500  0.45852E-05  0.00000E+00
    0.0600  0.72346E-05  0.00000E+00
    0.0700  0.10212E-04  0.00000E+00
    0.0800  0.13249E-04  0.00000E+00
    0.0900  0.16102E-04  0.00000E+00
    0.1000  0.18540E-04  0.00000E+00
    0.1100  0.20344E-04  0.00000E+00
    0.1200  0.21350E-04  0.00000E+00
    0.1300  0.21501E-04  0.21501E-04
    0.1400  0.20838E-04  0.22097E-04
    0.1500  0.19433E-04  0.22693E-04
    0.1600  0.17362E-04  0.23289E-04
    0.1700  0.14763E-04  0.23885E-04
    0.1800  0.11955E-04  0.24481E-04
    0.1900  0.96381E-05  0.25077E-04
    0.2000  0.89149E-05  0.25673E-04
    0.2100  0.10305E-04  0.26269E-04
    0.2200  0.13030E-04  0.26865E-04
    0.2300  0.16237E-04  0.27461E-04
    0.2400  0.19520E-04  0.28057E-04
    0.2500  0.22704E-04  0.28653E-04
    0.2600  0.25657E-04  0.29249E-04
    0.2700  0.28218E-04  0.29845E-04
    0.2800  0.30219E-04  0.30441E-04
    0.2900  0.31549E-04  0.31037E-04
    0.3000  0.32197E-04  0.31633E-04
    0.3100  0.32229E-04  0.32229E-04
    0.3200  0.31742E-04  0.31085E-04
    0.3300  0.30839E-04  0.29942E-04
    0.3400  0.29623E-04  0.28799E-04
    0.3500  0.28176E-04  0.27655E-04
    0.3600  0.26529E-04  0.26512E-04
    0.3700  0.24665E-04  0.25369E-04
    0.3800  0.22575E-04  0.24225E-04
    0.3900  0.20337E-04  0.23082E-04
    0.4000  0.18160E-04  0.21938E-04
    0.4100  0.16346E-04  0.20795E-04
    0.4200  0.15176E-04  0.19652E-04
    0.4300  0.14730E-04  0.18508E-04
    0.4400  0.14807E-04  0.17365E-04
    0.4500  0.15029E-04  0.16222E-04
    0.4600  0.15078E-04  0.15078E-04
    0.4700  0.14882E-04  0.15985E-04
    0.4800  0.14591E-04  0.16892E-04
    0.4900  0.14408E-04  0.17799E-04
    0.5000  0.14459E-04  0.18706E-04
    0.5100  0.14792E-04  0.19613E-04
    0.5200  0.15440E-04  0.20520E-04
    0.5300  0.16428E-04  0.21427E-04
    0.5400  0.17728E-04  0.22333E-04
    0.5500  0.19258E-04  0.23240E-04
    0.5600  0.20934E-04  0.24147E-04
    0.5700  0.22702E-04  0.25054E-04
    0.5800  0.24514E-04  0.25961E-04
    0.5900  0.26277E-04  0.26868E-04
    0.6000  0.27837E-04  0.27775E-04
    0.6100  0.29009E-04  0.28682E-04
    0.6200  0.29588E-04  0.29588E-04
    0.6300  0.29355E-04  0.30469E-04
    0.6400  0.28101E-04  0.31349E-04
    0.6500  0.25714E-04  0.32229E-04
    0.6600  0.22247E-04  0.33109E-04
    0.6700  0.17942E-04  0.33989E-04
    0.6800  0.13385E-04  0.34869E-04
    0.6900  0.10158E-04  0.35749E-04
    0.7000  0.11021E-04  0.36629E-04
    0.7100  0.15628E-04  0.37509E-04
    0.7200  0.21479E-04  0.38389E-04
    0.7300  0.27308E-04  0.39269E-04
    0.7400  0.32586E-04  0.40149E-04
    0.7500  0.37044E-04  0.41029E-04
    0.7600  0.40486E-04  0.41909E-04
    0.7700  0.42737E-04  0.42789E-04
    0.7800  0.43669E-04  0.43669E-04
    0.7900  0.43208E-04  0.42397E-04
    0.8000  0.41308E-04  0.41124E-04
    0.8100  0.37960E-04  0.39851E-04
    0.8200  0.33284E-04  0.38578E-04
    0.8300  0.27640E-04  0.37305E-04
    0.8400  0.21631E-04  0.36032E-04
    0.8500  0.16056E-04  0.34759E-04
    0.8600  0.12094E-04  0.33487E-04
    0.8700  0.11287E-04  0.32214E-04
    0.8800  0.13551E-04  0.30941E-04
    0.8900  0.16976E-04  0.29668E-04
    0.9000  0.20210E-04  0.28395E-04
    0.9100  0.22658E-04  0.27122E-04
    0.9200  0.24109E-04  0.25849E-04
    0.9300  0.24577E-04  0.24577E-04
    0.9400  0.24263E-04  0.25043E-04
    0.9500  0.23513E-04  0.25509E-04
    0.9600  0.22713E-04  0.25976E-04
    0.9700  0.22188E-04  0.26442E-04
    0.9800  0.22211E-04  0.26909E-04
    0.9900  0.23013E-04  0.27375E-04
    1.0000  0.24588E-04  0.27842E-04
    1.0100  0.26544E-04  0.28308E-04
    1.0200  0.28272E-04  0.28774E-04
    1.0300  0.29241E-04  0.29241E-04
    1.0400  0.29135E-04  0.29666E-04
    1.0500  0.27801E-04  0.30092E-04
    1.0600  0.25164E-04  0.30518E-04
    1.0700  0.21235E-04  0.30944E-04
    1.0800  0.16204E-04  0.31369E-04
    1.0900  0.10664E-04  0.31795E-04
    1.1000  0.67325E-05  0.32221E-04
    1.1100  0.89905E-05  0.32647E-04
    1.1200  0.14826E-04  0.33072E-04
    1.1300  0.20946E-04  0.33498E-04
    1.1400  0.26400E-04  0.33924E-04
    1.1500  0.30764E-04  0.34350E-04
    1.1600  0.33767E-04  0.34775E-04
    1.1700  0.35201E-04  0.35201E-04
    1.1800  0.34957E-04  0.34953E-04
    1.1900  0.33123E-04  0.34705E-04
    1.2000  0.29992E-04  0.34458E-04
    1.2100  0.25936E-04  0.34210E-04
    1.2200  0.21266E-04  0.33962E-04
    1.2300  0.16299E-04  0.33714E-04
    1.2400  0.11733E-04  0.33467E-04
    1.2500  0.93782E-05  0.33219E-04
    1.2600  0.11093E-04  0.32971E-04
    1.2700  0.15277E-04  0.32723E-04
    1.2800  0.19947E-04  0.32475E-04
    1.2900  0.24262E-04  0.32228E-04
    1.3000  0.27800E-04  0.31980E-04
    1.3100  0.30270E-04  0.31732E-04
    1.3200  0.31484E-04  0.31484E-04
    1.3300  0.31357E-04  0.30003E-04
    1.3400  0.29911E-04  0.28522E-04
    1.3500  0.27272E-04  0.27041E-04
    1.3600  0.23676E-04  0.25560E-04
    1.3700  0.19473E-04  0.24079E-04
    1.3800  0.15062E-04  0.22598E-04
    1.3900  0.10777E-04  0.21117E-04
    1.4000  0.68457E-05  0.19636E-04
    1.4100  0.34200E-05  0.18155E-04
    1.4200  0.68853E-06  0.16674E-04
    1.4300  0.17024E-05  0.15193E-04
    1.4400  0.32776E-05  0.13712E-04
    1.4500  0.43970E-05  0.12231E-04
    1.4600  0.52051E-05  0.10750E-04
    1.4700  0.58030E-05  0.92692E-05
    1.4800  0.61997E-05  0.77882E-05
    1.4900  0.63072E-05  0.63072E-05
    1.5000  0.59936E-05  0.74865E-05
