  Time(sec)     RMS      ENVELOPE
    0.0000  0.53141E-08  0.00000E+00
    0.0100  0.44964E-07  0.00000E+00
    0.0200  0.18997E-06  0.00000E+00
    0.0300  0.54634E-06  0.00000E+00
    0.0400  0.12244E-05  0.00000E+00
    0.0500  0.23041E-05  0.00000E+00
    0.0600  0.38084E-05  0.00000E+00
    0.0700  0.56872E-05  0.00000E+00
    0.0800  0.78173E-05  0.00000E+00
    0.0900  0.10018E-04  0.00000E+00
    0.1000  0.12077E-04  0.00000E+00
    0.1100  0.13787E-04  0.00000E+00
    0.1200  0.14969E-04  0.00000E+00
    0.1300  0.15496E-04  0.15496E-04
    0.1400  0.15298E-04  0.15713E-04
    0.1500  0.14378E-04  0.15931E-04
    0.1600  0.12820E-04  0.16149E-04
    0.1700  0.10811E-04  0.16367E-04
    0.1800  0.86852E-05  0.16584E-04
    0.1900  0.70459E-05  0.16802E-04
    0.2000  0.67388E-05  0.17020E-04
    0.2100  0.80044E-05  0.17237E-04
    0.2200  0.10133E-04  0.17455E-04
    0.2300  0.12450E-04  0.17673E-04
    0.2400  0.14590E-04  0.17890E-04
    0.2500  0.16355E-04  0.18108E-04
    0.2600  0.17645E-04  0.18326E-04
    0.2700  0.18434E-04  0.18544E-04
    0.2800  0.18761E-04  0.18761E-04
    0.2900  0.18724E-04  0.18571E-04
    0.3000  0.18456E-04  0.18381E-04
    0.3100  0.18091E-04  0.18192E-04
    0.3200  0.17729E-04  0.18002E-04
    0.3300  0.17393E-04  0.17812E-04
    0.3400  0.17031E-04  0.17622E-04
    0.3500  0.16535E-04  0.17432E-04
    0.3600  0.15794E-04  0.17242E-04
    0.3700  0.14741E-04  0.17052E-04
    0.3800  0.13374E-04  0.16863E-04
    0.3900  0.11760E-04  0.16673E-04
    0.4000  0.10007E-04  0.16483E-04
    0.4100  0.82405E-05  0.16293E-04
    0.4200  0.65709E-05  0.16103E-04
    0.4300  0.50811E-05  0.15913E-04
    0.4400  0.38445E-05  0.15723E-04
    0.4500  0.29894E-05  0.15533E-04
    0.4600  0.27418E-05  0.15344E-04
    0.4700  0.31529E-05  0.15154E-04
    0.4800  0.39107E-05  0.14964E-04
    0.4900  0.46961E-05  0.14774E-04
    0.5000  0.53250E-05  0.14584E-04
    0.5100  0.57186E-05  0.14394E-04
    0.5200  0.58894E-05  0.14204E-04
    0.5300  0.59460E-05  0.14015E-04
    0.5400  0.60768E-05  0.13825E-04
    0.5500  0.64704E-05  0.13635E-04
    0.5600  0.71979E-05  0.13445E-04
    0.5700  0.81792E-05  0.13255E-04
    0.5800  0.92597E-05  0.13065E-04
    0.5900  0.10289E-04  0.12875E-04
    0.6000  0.11152E-04  0.12685E-04
    0.6100  0.11769E-04  0.12496E-04
    0.6200  0.12094E-04  0.12306E-04
    0.6300  0.12116E-04  0.12116E-04
    0.6400  0.11854E-04  0.12373E-04
    0.6500  0.11357E-04  0.12631E-04
    0.6600  0.10691E-04  0.12889E-04
    0.6700  0.99332E-05  0.13146E-04
    0.6800  0.91547E-05  0.13404E-04
