  Time(sec)     RMS      ENVELOPE
    0.0000  0.10420E-07  0.00000E+00
    0.0100  0.85988E-07  0.00000E+00
    0.0200  0.35197E-06  0.00000E+00
    0.0300  0.97541E-06  0.00000E+00
    0.0400  0.20994E-05  0.00000E+00
    0.0500  0.37906E-05  0.00000E+00
    0.0600  0.60165E-05  0.00000E+00
    0.0700  0.86462E-05  0.00000E+00
    0.0800  0.11469E-04  0.00000E+00
    0.0900  0.14224E-04  0.00000E+00
    0.1000  0.16634E-04  0.00000E+00
    0.1100  0.18440E-04  0.00000E+00
    0.1200  0.19425E-04  0.00000E+00
    0.1300  0.19438E-04  0.19438E-04
    0.1400  0.18403E-04  0.20073E-04
    0.1500  0.16327E-04  0.20707E-04
    0.1600  0.13308E-04  0.21342E-04
    0.1700  0.95520E-05  0.21977E-04
    0.1800  0.55183E-05  0.22611E-04
    0.1900  0.34538E-05  0.23246E-04
    0.2000  0.66948E-05  0.23880E-04
    0.2100  0.11331E-04  0.24515E-04
    0.2200  0.15882E-04  0.25150E-04
    0.2300  0.19961E-04  0.25784E-04
    0.2400  0.23348E-04  0.26419E-04
    0.2500  0.25906E-04  0.27053E-04
    0.2600  0.27565E-04  0.27688E-04
    0.2700  0.28323E-04  0.28323E-04
    0.2800  0.28237E-04  0.28022E-04
    0.2900  0.27420E-04  0.27721E-04
    0.3000  0.26020E-04  0.27421E-04
    0.3100  0.24201E-04  0.27120E-04
    0.3200  0.22132E-04  0.26820E-04
    0.3300  0.19965E-04  0.26519E-04
    0.3400  0.17836E-04  0.26219E-04
    0.3500  0.15841E-04  0.25918E-04
    0.3600  0.14040E-04  0.25618E-04
    0.3700  0.12449E-04  0.25317E-04
    0.3800  0.11061E-04  0.25017E-04
    0.3900  0.98506E-05  0.24716E-04
    0.4000  0.87915E-05  0.24416E-04
    0.4100  0.78727E-05  0.24115E-04
    0.4200  0.71048E-05  0.23814E-04
    0.4300  0.65217E-05  0.23514E-04
    0.4400  0.61691E-05  0.23213E-04
    0.4500  0.60779E-05  0.22913E-04
    0.4600  0.62378E-05  0.22612E-04
    0.4700  0.65966E-05  0.22312E-04
    0.4800  0.70842E-05  0.22011E-04
    0.4900  0.76396E-05  0.21711E-04
    0.5000  0.82242E-05  0.21410E-04
    0.5100  0.88224E-05  0.21110E-04
    0.5200  0.94379E-05  0.20809E-04
    0.5300  0.10086E-04  0.20509E-04
    0.5400  0.10781E-04  0.20208E-04
    0.5500  0.11527E-04  0.19907E-04
    0.5600  0.12312E-04  0.19607E-04
    0.5700  0.13109E-04  0.19306E-04
    0.5800  0.13888E-04  0.19006E-04
    0.5900  0.14616E-04  0.18705E-04
