  Time(sec)     RMS      ENVELOPE
    0.0000  0.73789E-08  0.00000E+00
    0.0100  0.60953E-07  0.00000E+00
    0.0200  0.24941E-06  0.00000E+00
    0.0300  0.68919E-06  0.00000E+00
    0.0400  0.14748E-05  0.00000E+00
    0.0500  0.26416E-05  0.00000E+00
    0.0600  0.41554E-05  0.00000E+00
    0.0700  0.59189E-05  0.00000E+00
    0.0800  0.77847E-05  0.00000E+00
    0.0900  0.95757E-05  0.00000E+00
    0.1000  0.11111E-04  0.00000E+00
    0.1100  0.12223E-04  0.00000E+00
    0.1200  0.12771E-04  0.12771E-04
    0.1300  0.12643E-04  0.13249E-04
    0.1400  0.11774E-04  0.13727E-04
    0.1500  0.10152E-04  0.14205E-04
    0.1600  0.78199E-05  0.14683E-04
    0.1700  0.48763E-05  0.15161E-04
    0.1800  0.14678E-05  0.15639E-04
    0.1900  0.22206E-05  0.16117E-04
    0.2000  0.59786E-05  0.16595E-04
    0.2100  0.95877E-05  0.17073E-04
    0.2200  0.12839E-04  0.17552E-04
    0.2300  0.15553E-04  0.18030E-04
    0.2400  0.17599E-04  0.18508E-04
    0.2500  0.18906E-04  0.18986E-04
    0.2600  0.19464E-04  0.19464E-04
    0.2700  0.19325E-04  0.19044E-04
    0.2800  0.18603E-04  0.18624E-04
    0.2900  0.17472E-04  0.18203E-04
    0.3000  0.16151E-04  0.17783E-04
    0.3100  0.14868E-04  0.17363E-04
    0.3200  0.13788E-04  0.16943E-04
    0.3300  0.12946E-04  0.16522E-04
    0.3400  0.12233E-04  0.16102E-04
    0.3500  0.11476E-04  0.15682E-04
    0.3600  0.10542E-04  0.15261E-04
    0.3700  0.93970E-05  0.14841E-04
    0.3800  0.81096E-05  0.14421E-04
    0.3900  0.68232E-05  0.14001E-04
    0.4000  0.57398E-05  0.13580E-04
    0.4100  0.51055E-05  0.13160E-04
    0.4200  0.50977E-05  0.12740E-04
    0.4300  0.56364E-05  0.12320E-04
    0.4400  0.64507E-05  0.11899E-04
    0.4500  0.72994E-05  0.11479E-04
    0.4600  0.80438E-05  0.11059E-04
    0.4700  0.86264E-05  0.10639E-04
    0.4800  0.90354E-05  0.10218E-04
    0.4900  0.92793E-05  0.97982E-05
    0.5000  0.93779E-05  0.93779E-05
    0.5100  0.93649E-05  0.97079E-05
    0.5200  0.92968E-05  0.10038E-04
    0.5300  0.92619E-05  0.10368E-04
    0.5400  0.93671E-05  0.10698E-04
    0.5500  0.97021E-05  0.11028E-04
    0.5600  0.10294E-04  0.11357E-04
    0.5700  0.11073E-04  0.11687E-04
    0.5800  0.11870E-04  0.12017E-04
    0.5900  0.12468E-04  0.12347E-04
    0.6000  0.12677E-04  0.12677E-04
    0.6100  0.12391E-04  0.12549E-04
    0.6200  0.11612E-04  0.12421E-04
    0.6300  0.10451E-04  0.12293E-04
    0.6400  0.91150E-05  0.12165E-04
    0.6500  0.78717E-05  0.12037E-04
    0.6600  0.69650E-05  0.11909E-04
    0.6700  0.64939E-05  0.11781E-04
    0.6800  0.63653E-05  0.11653E-04
    0.6900  0.64110E-05  0.11525E-04
    0.7000  0.65320E-05  0.11397E-04
    0.7100  0.67328E-05  0.11269E-04
    0.7200  0.70733E-05  0.11141E-04
    0.7300  0.75991E-05  0.11013E-04
    0.7400  0.82889E-05  0.10885E-04
    0.7500  0.90465E-05  0.10757E-04
    0.7600  0.97318E-05  0.10629E-04
    0.7700  0.10206E-04  0.10501E-04
    0.7800  0.10373E-04  0.10373E-04
    0.7900  0.10205E-04  0.10316E-04
    0.8000  0.97314E-05  0.10259E-04
    0.8100  0.90145E-05  0.10202E-04
    0.8200  0.81213E-05  0.10145E-04
    0.8300  0.71129E-05  0.10087E-04
    0.8400  0.60424E-05  0.10030E-04
    0.8500  0.49564E-05  0.99732E-05
    0.8600  0.38929E-05  0.99161E-05
    0.8700  0.28829E-05  0.98589E-05
    0.8800  0.19652E-05  0.98018E-05
    0.8900  0.12148E-05  0.97447E-05
    0.9000  0.77562E-06  0.96876E-05
    0.9100  0.76085E-06  0.96304E-05
    0.9200  0.10158E-05  0.95733E-05
    0.9300  0.14713E-05  0.95162E-05
    0.9400  0.21268E-05  0.94591E-05
    0.9500  0.28989E-05  0.94019E-05
    0.9600  0.36735E-05  0.93448E-05
    0.9700  0.43576E-05  0.92877E-05
    0.9800  0.48907E-05  0.92306E-05
    0.9900  0.52421E-05  0.91735E-05
    1.0000  0.54133E-05  0.91163E-05
    1.0100  0.54508E-05  0.90592E-05
    1.0200  0.54517E-05  0.90021E-05
    1.0300  0.55401E-05  0.89450E-05
    1.0400  0.58087E-05  0.88878E-05
    1.0500  0.62638E-05  0.88307E-05
    1.0600  0.68278E-05  0.87736E-05
    1.0700  0.73925E-05  0.87165E-05
    1.0800  0.78644E-05  0.86593E-05
    1.0900  0.81882E-05  0.86022E-05
    1.1000  0.83602E-05  0.85451E-05
    1.1100  0.84220E-05  0.84880E-05
    1.1200  0.84309E-05  0.84309E-05
    1.1300  0.84264E-05  0.84818E-05
    1.1400  0.84191E-05  0.85328E-05
    1.1500  0.84004E-05  0.85838E-05
    1.1600  0.83605E-05  0.86348E-05
    1.1700  0.83102E-05  0.86858E-05
    1.1800  0.82914E-05  0.87367E-05
    1.1900  0.83545E-05  0.87877E-05
    1.2000  0.85136E-05  0.88387E-05
    1.2100  0.87258E-05  0.88897E-05
    1.2200  0.89124E-05  0.89407E-05
    1.2300  0.89916E-05  0.89916E-05
    1.2400  0.88962E-05  0.89376E-05
    1.2500  0.85839E-05  0.88836E-05
    1.2600  0.80547E-05  0.88296E-05
    1.2700  0.73660E-05  0.87756E-05
    1.2800  0.66276E-05  0.87216E-05
    1.2900  0.59683E-05  0.86676E-05
    1.3000  0.54881E-05  0.86136E-05
    1.3100  0.52118E-05  0.85596E-05
    1.3200  0.50791E-05  0.85055E-05
    1.3300  0.49944E-05  0.84515E-05
    1.3400  0.48882E-05  0.83975E-05
    1.3500  0.47327E-05  0.83435E-05
    1.3600  0.45202E-05  0.82895E-05
    1.3700  0.42368E-05  0.82355E-05
    1.3800  0.38556E-05  0.81815E-05
    1.3900  0.33572E-05  0.81275E-05
    1.4000  0.27606E-05  0.80735E-05
    1.4100  0.21498E-05  0.80194E-05
    1.4200  0.17280E-05  0.79654E-05
    1.4300  0.18097E-05  0.79114E-05
    1.4400  0.24198E-05  0.78574E-05
    1.4500  0.32992E-05  0.78034E-05
    1.4600  0.42707E-05  0.77494E-05
    1.4700  0.52315E-05  0.76954E-05
    1.4800  0.60989E-05  0.76414E-05
    1.4900  0.67968E-05  0.75874E-05
    1.5000  0.72658E-05  0.75334E-05
    1.5100  0.74793E-05  0.74793E-05
    1.5200  0.74478E-05  0.73107E-05
    1.5300  0.72073E-05  0.71421E-05
    1.5400  0.68068E-05  0.69735E-05
    1.5500  0.63032E-05  0.68049E-05
    1.5600  0.57535E-05  0.66362E-05
    1.5700  0.51971E-05  0.64676E-05
    1.5800  0.46430E-05  0.62990E-05
    1.5900  0.40805E-05  0.61304E-05
    1.6000  0.35058E-05  0.59618E-05
    1.6100  0.29407E-05  0.57932E-05
    1.6200  0.24335E-05  0.56245E-05
    1.6300  0.20459E-05  0.54559E-05
    1.6400  0.18377E-05  0.52873E-05
