 StaID  EPI(km) AZI(degree) PGV(cm/s)  T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE          ML     MD        txtfile
EASB    39.242  151.593     .103E-03  156.65  204.81   48.16   1.89   5.40    .819  1.609   .158E-04   .506E-03   2.16   2.63  G04para_result.txt
FULB    84.517   48.521     .492E-04  163.30  222.21   58.91    .75    .43    .875  2.094   .133E-04   .340E-03   2.60   2.97  G04para_result.txt
SCZB    36.145  187.660     .107E-03  156.06  240.79   84.73    .19   -.55    .762  1.407   .568E-04  -.502E-03   2.37   3.11  G04para_result.txt
ALSB    89.772    7.409     .178E-03  117.40  175.37   57.97   1.11   2.79    .917  1.636   .484E-04   .348E-03   2.72   2.97  G05para_result.txt
CHKB    81.617   57.594     .384E-03  123.77  138.47   14.70    .90    .81   1.678  1.271   .169E-03  -.565E-03   2.94   1.75  G05para_result.txt
DPDB   148.949    8.891     .631E-04  124.22  172.90   48.68   1.69   4.67    .955  -.406   .223E-04  -.356E-03   2.89   3.03  G05para_result.txt
EASB    39.094  155.686     .327E-03  103.21  150.32   47.11   2.52   7.27    .888  1.709   .175E-04   .170E-02   2.32   2.61  G05para_result.txt
FULB    81.865   47.922     .213E-03  106.35  172.41   66.06   1.87   4.42    .863  2.188   .142E-04   .180E-02   2.64   3.06  G05para_result.txt
HGSD   114.462   40.215     .343E-04  111.48  193.51   82.03   1.12   1.62    .731  2.358   .533E-05   .377E-03   2.45   3.36  G05para_result.txt
NACB   186.586   29.146     .190E-04  146.78  192.33   45.55    .93   1.19    .841   .981   .557E-05   .486E-04   2.61   3.10  G05para_result.txt
NNSB   203.183   19.917     .232E-04  127.45  194.09   66.63   1.92   5.52    .808   .287   .332E-05   .155E-03   2.82   3.49  G05para_result.txt
YHNB   228.222   17.432     .385E-04  129.33  182.32   52.99   2.17   8.27    .880  2.453   .575E-05   .204E-03   2.97   3.38  G05para_result.txt
YULB    97.699   38.638     .326E-04  108.76  197.38   88.62   1.51   2.30    .655  1.806   .325E-05   .445E-03   2.21   3.37  G05para_result.txt
ALSB    88.995   10.201     .531E-04  128.98  186.69   57.71   1.12   2.05    .843  2.498   .125E-04   .233E-03   2.50   2.96  G07para_result.txt
CHGB   157.705   19.388     .812E-04  132.79  146.20   13.41    .20   -.94   1.462  3.265   .276E-04   .202E-03   2.83   1.94  G07para_result.txt
DPDB   148.243   10.568     .213E-04  131.36  165.32   33.96    .68    .14   1.026   .429   .566E-05   .838E-04   2.78   2.71  G07para_result.txt
EASB    42.264  151.268     .377E-04  118.33  156.67   38.34   1.00    .48    .761  1.038   .839E-05   .228E-03   1.86   2.45  G07para_result.txt
NNSB   203.313   21.154     .118E-04  136.07  159.94   23.87   1.24   1.93   1.052  -.213   .154E-05   .618E-04   2.73   2.60  G07para_result.txt
SLBB   246.436   23.623     .197E-04  140.98  177.27   36.29    .88    .63   1.031  1.430   .671E-05   .411E-04   3.21   3.11  G07para_result.txt
SSLB   122.265   14.228     .263E-04  131.88  152.44   20.56   1.33   2.26   1.050   .540   .727E-05   .440E-04   2.29   2.18  G07para_result.txt
YHNB   228.153   18.533     .212E-04  137.25  167.85   30.60    .66    .42   1.006  2.053   .487E-05   .965E-04   2.92   2.90  G07para_result.txt
YULB    99.291   41.039     .108E-04  127.92  164.75   36.83    .88   1.30    .790  1.700   .237E-05   .454E-04   2.06   2.61  G07para_result.txt
ALSB    89.702    9.061     .152E-03  140.49  211.94   71.45   1.74   4.05    .886  2.973   .982E-05   .195E-02   2.79   3.15  G08para_result.txt
CHGB   158.110   18.713     .232E-03  147.11  200.27   53.16   1.49   2.19   1.075  3.827   .474E-04   .687E-03   3.37   3.13  G08para_result.txt
DPDB   148.931    9.883     .533E-04  145.20  228.08   82.89   1.11    .50    .796  1.034   .631E-05   .768E-03   2.78   3.49  G08para_result.txt
EASB    40.612  152.633     .733E-03  132.03  180.88   48.85   3.48  15.01    .995  1.601   .198E-04   .241E-02   2.64   2.65  G08para_result.txt
ECLB    31.980  112.750     .653E-03  162.78  172.14    9.36   2.58   9.38   1.970  -.106   .752E-04   .546E-03   2.33   1.18  G08para_result.txt
ELDB    64.020   34.013     .642E-04  139.17  215.93   76.77    .94   1.23    .661  2.447   .242E-04  -.296E-03   2.07   3.12  G08para_result.txt
HGSD   115.802   41.316     .402E-04  140.10  218.55   78.45   1.43   2.21    .738  2.786   .503E-05   .582E-03   2.45   3.32  G08para_result.txt
KMNB   303.605  310.249     .209E-04  155.54  226.56   71.02    .87    .35    .807  2.299   .615E-05   .842E-04   3.14   3.90  G08para_result.txt
NACB   187.466   29.887     .182E-04  147.78  241.68   93.90    .78    .37    .685   .861   .528E-05   .134E-03   2.56   3.73  G08para_result.txt
NANB   219.654   29.737     .260E-04  149.08  210.96   61.88   1.12    .73    .813  1.566   .703E-05   .835E-04   2.83   3.48  G08para_result.txt
NNSB   203.657   20.628     .344E-04  148.65  250.63  101.98   1.54   2.70    .738   .520   .340E-05   .360E-03   2.85   3.86  G08para_result.txt
SCZB    37.681  187.346     .919E-04  134.62  175.59   40.97    .73    .32    .823   .955   .423E-04  -.324E-03   2.05   2.49  G08para_result.txt
SLBB   246.697   23.187     .598E-04  149.78  225.40   75.62   1.41   1.91    .869  2.086   .986E-05   .493E-03   3.26   3.75  G08para_result.txt
SSLB   122.840   13.377     .768E-04  145.48  218.18   72.71   2.10   4.37    .803  1.530   .302E-04  -.106E-02   2.64   3.28  G08para_result.txt
TIPB   276.622   24.827     .215E-04  154.38  228.05   73.67    .83    .16    .899  1.731   .569E-05   .207E-03   3.45   3.83  G08para_result.txt
TWM1    28.049  296.627     .295E-03  139.12  195.01   55.90   1.30   2.43    .826  2.649   .591E-04   .129E-02   2.25   2.72  G08para_result.txt
WFSB   284.801   23.052     .141E-03  159.46  214.52   55.06   1.23   1.54   1.048  2.366   .501E-04  -.247E-03   3.78   3.61  G08para_result.txt
YHNB   228.583   18.069     .669E-04  151.35  201.57   50.21   1.02    .12    .966  3.423   .947E-05   .574E-03   3.22   3.33  G08para_result.txt
YULB    98.981   39.949     .231E-04  139.58  221.03   81.45    .94    .28    .653  2.298   .290E-05   .299E-03   2.15   3.30  G08para_result.txt
ALSB    27.942  352.528     .219E-03  139.00  228.81   89.81    .98   1.38    .674   .362   .571E-04   .151E-02   2.11   3.13  G12para_result.txt
DPDB    86.190    5.239     .481E-04  157.16  234.08   76.92    .88    .95    .887   .252   .133E-04   .286E-03   2.84   3.20  G12para_result.txt
ELDB    19.640  113.516     .450E-04  149.74  217.96   68.21   1.57   3.48    .524  1.314   .459E-05   .492E-03   1.50   2.87  G12para_result.txt
FULB    45.980   98.133     .523E-04  170.11  214.88   44.77    .79    .70    .973  1.713   .236E-04  -.125E-03   2.52   2.59  G12para_result.txt
SGSB    32.932  233.404     .376E-04  168.20  190.21   22.02    .76    .45   1.023  1.212   .194E-04  -.941E-04   1.97   1.93  G12para_result.txt
DPDB    85.628    5.957     .337E-03  124.53  133.63    9.10    .38   -.81   2.344   .051   .543E-04   .780E-03   3.16   1.35  G14para_result.txt
EASB    97.630  178.949     .267E-03  132.51  167.76   35.24   1.81   3.81   1.336   .787   .396E-04   .846E-03   3.43   2.57  G14para_result.txt
SCZB   101.245  192.375     .835E-04  131.54  152.57   21.03   1.42   2.43   1.372   .362   .290E-04  -.203E-04   2.92   2.13  G14para_result.txt
DPDB    26.699  270.386     .878E-04   79.04   88.28    9.23   1.08    .46   1.916   .934   .178E-04   .126E-03   2.21   1.15  G15para_result.txt
ESLB    35.392  133.402     .246E-03   69.99   88.33   18.34   2.84   8.97   1.291 -1.374   .248E-04   .235E-03   2.30   1.78  G15para_result.txt
NANB    71.817   52.323     .317E-04   78.90  105.57   26.67   1.30   2.46   1.101   .329   .790E-05   .643E-04   2.46   2.23  G15para_result.txt
SLBB    91.841   29.446     .649E-04   85.67  109.91   24.24   1.17    .95   1.365  1.757   .178E-04   .603E-04   3.03   2.22  G15para_result.txt
ALSB    48.437  186.607     .208E-03  108.75  182.21   73.46    .60    .20    .797  2.514   .290E-04   .358E-02   2.42   3.03  G18para_result.txt
