 StaID  EPI(km) AZI(degree) PGV(cm/s)  T1(sec) T2(sec)  SD(sec) SK     KT    M_ratio  LFHF    A0       AE          ML    MD         txtfile
ALSB   161.894  220.249     .294E-03   71.79   97.59   25.81   1.64   2.98   1.467  2.189   .701E-04   .518E-04   3.70   2.52  Meq01para_result.txt
SGSB   213.245  216.799     .667E-04   43.83  147.32  103.49   1.73   4.66    .966  1.334   .186E-04  -.173E-03   3.77   3.91  Meq01para_result.txt
ESLB    98.913  204.095     .134E-03   44.93   85.06   40.13   1.47   1.64   1.156  -.116   .146E-04   .833E-03   3.10   2.68  Meq01para_result.txt
TWHB   219.167  189.550     .151E-02  151.04  174.84   23.79   1.26   1.48   1.742  2.734   .523E-03  -.119E-04   4.62   2.65  Meq01para_result.txt
ELDB   179.678  207.574     .902E-04   55.45   95.39   39.93   1.46   1.39   1.176  1.690   .820E-05   .591E-03   3.48   2.96  Meq01para_result.txt
DPDB   113.502  234.742     .860E-04   45.29   90.89   45.60   1.66   2.47   1.141   .487   .102E-04   .512E-03   3.25   2.85  Meq01para_result.txt
NACB    56.005  206.180     .263E-03   37.44   70.74   33.30   2.49   8.09   1.178  1.900   .145E-04   .971E-03   2.79   2.37  Meq01para_result.txt
TDCB    80.421  239.071     .209E-03   42.72   69.69   26.98   3.13  11.37   1.273  1.982   .173E-04   .309E-03   2.89   2.27  Meq01para_result.txt
TPUB   191.576  220.158     .546E-04   75.23   93.45   18.22    .56    .21   1.498   .407   .188E-04   .673E-04   3.48   2.32  Meq01para_result.txt
SSLB   129.276  224.150     .118E-03   46.69   85.43   38.74   3.09  10.96   1.083   .792   .775E-05   .273E-03   2.99   2.76  Meq01para_result.txt
CHGB    92.120  227.111     .401E-03   43.21   78.92   35.71   1.92   3.45   1.270  3.095   .122E-04   .269E-02   3.25   2.56  Meq01para_result.txt
HGSD   132.598  198.593     .150E-02   62.56  105.48   42.92   1.04    .11   1.491  2.667   .309E-03   .901E-02   4.26   2.86  Meq01para_result.txt
YULB   147.419  202.017     .609E-04   63.29   86.87   23.58   1.06    .92   1.397  1.104   .678E-05   .276E-03   3.34   2.39  Meq01para_result.txt
NNSB    51.119  244.496     .258E-03   37.06   62.07   25.00   2.29   5.97   1.394  -.560   .220E-04   .772E-03   2.93   2.10  Meq01para_result.txt
ALSB    24.853  115.750     .484E-03  140.24  157.26   17.02   2.40   5.08   1.359  1.723   .430E-04   .725E-03   2.28   1.68  Meq02para_result.txt
WGKB     9.019  344.459     .146E-02  139.93  153.51   13.57   2.60   9.10   1.819 -1.255   .380E-03  -.892E-03   2.60   1.43  Meq02para_result.txt
TWMB    88.421  190.922     .351E-03   35.56   53.96   18.40    .57   -.02   1.761  -.419   .137E-03   .460E-03   3.47   1.97  Meq02para_result.txt
TPUB    34.009  173.857     .123E-03  145.10  153.66    8.56   1.58   2.46   1.873   .380   .166E-04   .152E-03   2.09   1.11  Meq02para_result.txt
SSLB    41.834   61.228     .310E-04  142.98  153.98   11.00   1.30   1.16   1.508   .748   .824E-05   .209E-04   2.05   1.36  Meq02para_result.txt
ALSB    51.410  277.185     .323E-03  116.74  147.74   31.01   1.93   3.25   1.168  1.906   .396E-04   .981E-03   2.68   2.29  Meq03para_result.txt
CHKH    39.579  171.101     .129E-03  132.90  149.20   16.30   2.08   4.81   1.631  1.699   .174E-04   .350E-03   2.76   1.69  Meq03para_result.txt
SGSB    84.493  241.091     .519E-04  143.51  157.89   14.38    .96   1.45   1.718  1.175   .112E-04   .121E-03   2.99   1.74  Meq03para_result.txt
ESLB    42.031   18.140     .131E-03  131.09  146.36   15.27    .90   -.09   1.373  -.804   .188E-04   .403E-03   2.26   1.65  Meq03para_result.txt
TWHB    87.653  168.442     .171E-02  120.72  136.24   15.53   -.16    .00   2.141  3.028   .655E-03   .283E-02   3.89   1.82  Meq03para_result.txt
ELDB    41.464  225.251     .358E-03  125.39  150.23   24.84   1.47   1.56   1.269  -.103   .830E-05   .160E-02   2.62   2.07  Meq03para_result.txt
DPDB    75.549  328.650     .483E-04  132.98  158.36   25.39    .79    .26   1.352   .355   .809E-05   .270E-03   2.98   2.20  Meq03para_result.txt
FULB    27.993  183.983     .137E-02  125.04  150.81   25.77   2.33   5.22   1.289  2.286   .346E-04   .463E-02   2.64   2.05  Meq03para_result.txt
SSLB    52.229  315.562     .107E-03  128.41  147.46   19.06   2.27   5.17   1.155  -.064   .104E-04   .247E-03   2.16   1.87  Meq03para_result.txt
CHGB    68.903  348.167     .180E-03  132.24  172.49   40.25   2.20   5.99   1.097  2.149   .438E-04  -.355E-03   2.83   2.58  Meq03para_result.txt
HGSD    12.202   68.089     .341E-01  124.19  149.26   25.07   2.44   6.73   1.815  2.306   .781E-03   .935E-01   3.58   1.97  Meq03para_result.txt
YULB     6.686  194.067     .278E-02  120.79  133.95   13.16   4.69  24.57   2.005  -.897   .430E-04   .203E-02   2.79   1.39  Meq03para_result.txt
ESLB    21.847  314.311     .193E-03   28.45   47.91   19.46   1.47   1.45   1.460 -1.108   .179E-04   .498E-03   2.61   1.78  Meq04para_result.txt
ELDB    79.324  227.306     .143E-03   30.11   54.86   24.75   2.76   9.87   1.311   .697   .130E-04   .298E-03   2.88   2.19  Meq04para_result.txt
FULB    60.931  210.359     .131E-03   36.99   57.39   20.40    .92    .10   1.666  1.691   .187E-04   .570E-03   3.27   1.96  Meq04para_result.txt
NACB    55.325  359.969     .135E-03   30.91   47.31   16.40   2.71   9.69   1.519  1.712   .257E-04   .329E-04   2.66   1.75  Meq04para_result.txt
SSLB    66.517  281.015     .362E-04   36.88   52.15   15.27   1.87   6.16   1.472   .132   .892E-05   .134E-04   2.55   1.73  Meq04para_result.txt
CHGB    60.532  315.013     .203E-03   23.81   51.92   28.10   2.42   7.35   1.302  2.320   .245E-04   .564E-03   2.92   2.24  Meq04para_result.txt
HGSD    26.647  220.958     .182E-02   29.10   53.34   24.24    .71   -.70   1.795  2.044   .476E-03   .564E-02   3.58   1.99  Meq04para_result.txt
YULB    43.541  224.346     .713E-04   31.76   49.35   17.59   1.96   4.74   1.553   .116   .865E-05   .141E-03   2.75   1.77  Meq04para_result.txt
ALSB   123.711  231.365     .127E-03   56.97   99.74   42.77   1.00   1.69   1.217   .904   .311E-04   .463E-03   3.44   2.83  Meq05para_result.txt
ESLB    54.609  216.440     .113E-03   93.37  121.81   28.44   1.59   2.60   1.174   .373   .185E-04   .346E-03   2.62   2.23  Meq05para_result.txt
TWMB   204.923  221.725     .628E-03  130.78  148.19   17.41    .93   1.40   1.813   .217   .141E-03   .110E-02   4.22   2.33  Meq05para_result.txt
DPDB    86.895  257.243     .112E-03  100.48  127.94   27.46   2.33   6.49   1.334   .505   .134E-04   .235E-03   3.08   2.31  Meq05para_result.txt
NACB    17.231  256.964     .437E-03   87.97  105.32   17.35   2.13   4.51   1.203  1.053   .436E-04   .638E-03   2.01   1.67  Meq05para_result.txt
TDCB    61.275  274.692     .450E-04  100.45  115.39   14.93   1.22    .95   1.557  1.375   .120E-04   .708E-04   2.64   1.69  Meq05para_result.txt
SSLB    94.315  240.514     .598E-04  100.76  133.18   32.41   3.14  11.47   1.101  1.593   .693E-05   .983E-04   2.73   2.48  Meq05para_result.txt
CHGB    61.767  254.653     .508E-03   93.37  121.81   28.44   2.81   8.46   1.287  2.728   .202E-04   .154E-02   2.90   2.25  Meq05para_result.txt
NNSB    45.328  302.493     .160E-03   98.05  115.73   17.68   2.31   7.79   1.376  -.697   .295E-04   .109E-03   2.45   1.78  Meq05para_result.txt
ALSB   131.053  267.510     .144E-03   85.16  118.13   32.98   1.17   1.71   1.334  1.556   .208E-04   .738E-03   3.50   2.63  Meq06para_result.txt
ESLB    72.093  292.398     .707E-04   68.01  148.09   80.09   1.16   1.61    .892  -.519   .148E-04   .430E-03   2.84   3.19  Meq06para_result.txt
ELDB   117.136  249.285     .154E-03   81.60  120.92   39.32   2.46   6.84   1.153   .884   .182E-04   .491E-03   3.15   2.73  Meq06para_result.txt
FULB    91.423  243.833     .236E-03   82.02  111.87   29.84   1.26   1.41   1.485  1.660   .301E-04   .115E-02   3.56   2.40  Meq06para_result.txt
NACB    84.530  322.966     .139E-03   86.12  124.75   38.64   3.23  14.69   1.100  1.833   .246E-04  -.414E-04   2.86   2.60  Meq06para_result.txt
